"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP3wt_rep1"	"IGF2BP3wt_rep2"	"IGF2BP3I474M_rep1"	"IGF2BP3I474M_rep2"	"IGF2BP3R525C_rep1"	"IGF2BP3R525C_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr1"	19161836	19161858	"IGF2BP3I474M_final,IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	34.67571429	28.07235294	10.808	22.45714286	27.01230769	20.415	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19198882	19198890	"IGF2BP3wt_final"	"-"	9.655	4.9875	0	0	0	10.10666667	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19232992	19233000	"IGF2BP3wt_final"	"-"	7.394	8.712	1.46	3.32	0	0.83	"ENSG00000127463.15"	"EMC1"	"protein_coding"	"CDS"
"chr1"	19258886	19258894	"IGF2BP3wt_final"	"+"	11.84	8.88	4.9	4.02	5.28	7.315	"ENSG00000053372.5"	"MRTO4"	"protein_coding"	"3UTR"
"chr1"	19339570	19339579	"IGF2BP3I474M_final,IGF2BP3R525C_final"	"-"	4.03	1.02	15.0875	14.9675	2.543333333	8.20125	"ENSG00000077549.19"	"CAPZB"	"protein_coding"	"CDS"
"chr1"	19608086	19608094	"IGF2BP3R525C_final"	"+"	9.36	1.745	18.69714286	8.474285714	9.908571429	9.541666667	"ENSG00000173436.15"	"MICOS10"	"protein_coding"	"intron"
"chr1"	20483154	20483164	"IGF2BP3I474M_final,IGF2BP3wt_final"	"-"	6.723333333	8.29125	10.78	9.428	1.065	5.77	"ENSG00000162545.6"	"CAMK2N1"	"protein_coding"	"3UTR"
"chr1"	20485284	20485292	"IGF2BP3R525C_final"	"-"	11.075	8.968571429	0.5266666667	13.845	7.66	13.50857143	"ENSG00000162545.6"	"CAMK2N1"	"protein_coding"	"CDS"
"chr1"	20652700	20652712	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	6.165	5.154	5.106666667	4.6	8.988	11.95166667	"ENSG00000244038.11"	"DDOST"	"protein_coding"	"CDS"
"chr1"	20653732	20653740	"IGF2BP3wt_final"	"-"	10.11	4.005	2.216	5.453333333	1.05	2.6225	"ENSG00000244038.11"	"DDOST"	"protein_coding"	"CDS"
"chr1"	20744561	20744570	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	7.07	9.15	3.24	0	9.47	7.115	"ENSG00000127483.19"	"HP1BP3"	"protein_coding"	"3UTR"
"chr1"	23693830	23693838	"IGF2BP3I474M_final,IGF2BP3wt_final"	"+"	187.7962513	249.95625	139.3525	94.34571143	54.62249875	39.66374625	"ENSG00000142676.14"	"RPL11"	"protein_coding"	"CDS"
"chr1"	23694722	23694730	"IGF2BP3I474M_final"	"+"	40.16571429	0.015	24.2375	10.51142857	11.69	3.23	"ENSG00000142676.14"	"RPL11"	"protein_coding"	"CDS"
"chr1"	23695356	23695364	"IGF2BP3I474M_final"	"+"	0	0	5.6	12.888	1.28	0	"ENSG00000142676.14"	"RPL11"	"protein_coding"	"intron"
"chr1"	23795507	23795515	"IGF2BP3wt_final"	"+"	21.45166667	7.318	5.15	8.416666667	1.384	7.79	"ENSG00000011009.11"	"LYPLA2"	"protein_coding"	"3UTR"
"chr1"	23976041	23976049	"IGF2BP3wt_final"	"-"	10.765	4.564285714	4.15	1.12	5.784	2.9875	"ENSG00000188529.15"	"SRSF10"	"protein_coding"	"intron"
"chr1"	24797834	24797842	"IGF2BP3R525C_final"	"+"	0	0	0	0	2.955	7.0475	"ENSG00000169504.15"	"CLIC4"	"protein_coding"	"CDS"
"chr1"	24840807	24840815	"IGF2BP3wt_final"	"+"	8.678571429	10.03285714	7.504	1.153333333	4.125	7.33	"ENSG00000169504.15"	"CLIC4"	"protein_coding"	"CDS"
"chr1"	24841592	24841604	"IGF2BP3I474M_final,IGF2BP3wt_final"	"+"	15.93	8.035	12.78666667	18.11	11.712	18.25428571	"ENSG00000169504.15"	"CLIC4"	"protein_coding"	"3UTR"
"chr1"	25900790	25900798	"IGF2BP3wt_final"	"-"	15.376	8.923333333	0	3.28	2.4	14.22	"ENSG00000117632.23"	"STMN1"	"protein_coding"	"3UTR"
"chr1"	26780662	26780670	"IGF2BP3R525C_final"	"+"	3.98	0.34	1.72	0	7.032	5	"ENSG00000117713.20"	"ARID1A"	"protein_coding"	"CDS"
"chr1"	27000035	27000043	"IGF2BP3wt_final"	"+"	14.99571429	6.04	5.53	0.23	3.99	0.1416666667	"ENSG00000253368.4"	"TRNP1"	"protein_coding"	"3UTR"
"chr1"	27000209	27000225	"IGF2BP3I474M_final,IGF2BP3R525C_final"	"+"	3.84	1.62	9.546666667	10.58	3.805714286	16.066	"ENSG00000253368.4"	"TRNP1"	"protein_coding"	"3UTR"
"chr1"	27000472	27000480	"IGF2BP3R525C_final"	"+"	7.655	7.9325	3.7	5.38	12.5	26.59	"ENSG00000253368.4"	"TRNP1"	"protein_coding"	"3UTR"
"chr1"	28200762	28200770	"IGF2BP3wt_final"	"-"	8.88	10.36	5.6	6.7	3.3	3.99	"ENSG00000126698.11"	"DNAJC8"	"protein_coding"	"3UTR"
"chr1"	28507481	28507489	"IGF2BP3wt_final"	"+"	114.7725125	98.03144	76.97126	4.314288571	0	0	"ENSG00000274266.1"	"SNORA73A"	"snoRNA"	"exon"
"chr1"	28508526	28508534	"IGF2BP3R525C_final"	"+"	6.666666667	4.804	3.295	2.54	7.39	10.97714286	"ENSG00000180198.16"	"RCC1"	"protein_coding"	"intron"
"chr1"	28508661	28508674	"IGF2BP3I474M_final,IGF2BP3wt_final"	"+"	142.7146185	192.2376946	76.84153923	37.68153154	36.82615846	27.58614538	"ENSG00000200087.1"	"SNORA73B"	"snoRNA"	"exon"
"chr1"	28509141	28509149	"IGF2BP3R525C_final"	"+"	1.45	2.53	6.506666667	6.375	6.375	16.43833333	"ENSG00000180198.16"	"RCC1"	"protein_coding"	"intron"
"chr1"	28536006	28536014	"IGF2BP3R525C_final"	"+"	5.92	2.22	0.7	0.67	6.6	5.985	"ENSG00000180198.16"	"RCC1"	"protein_coding"	"CDS"
"chr1"	28580388	28580396	"IGF2BP3R525C_final"	"-"	20.77125	44.08125	1.10375	13.59125	14.85375	37.90875	"ENSG00000273544.1"	"SNORA44"	"snoRNA"	"exon"
"chr1"	28580403	28580411	"IGF2BP3wt_final"	"-"	49.4549975	79.00874875	0	20.26999875	13.1325	43.94875	"ENSG00000273544.1"	"SNORA44"	"snoRNA"	"exon"
"chr1"	28580943	28580951	"IGF2BP3wt_final"	"-"	91.33125	49.84499625	1.25999875	10.45124875	0.95999875	0	"ENSG00000274582.1"	"SNORA16A"	"snoRNA"	"exon"
"chr1"	28769490	28769498	"IGF2BP3I474M_final"	"+"	2.655	4.205	11.02571429	11.5475	4.172	5.018	"ENSG00000198492.16"	"YTHDF2"	"protein_coding"	"3UTR"
"chr1"	30952249	30952257	"IGF2BP3R525C_final"	"-"	1.11	1.11	2.79	3.973333333	5.565	7.483333333	"ENSG00000134644.16"	"PUM1"	"protein_coding"	"CDS"
"chr1"	31059218	31059226	"IGF2BP3wt_final"	"-"	5.06	4.498333333	0.468	0.51	0.12	3.694	"ENSG00000134644.16"	"PUM1"	"protein_coding"	"CDS"
"chr1"	32033314	32033322	"IGF2BP3I474M_final"	"+"	0	0.48	10.45	6.068	1.005	3.59	"ENSG00000121774.18"	"KHDRBS1"	"protein_coding"	"CDS"
"chr1"	32043030	32043038	"IGF2BP3wt_final"	"+"	18.994	29.5725	0.2	20.315	4.973333333	7.07	"ENSG00000121774.18"	"KHDRBS1"	"protein_coding"	"3UTR"
"chr1"	32043138	32043146	"IGF2BP3I474M_final"	"+"	1.05	5.085	2.711428571	7.786666667	0	0.505	"ENSG00000121774.18"	"KHDRBS1"	"protein_coding"	"3UTR"
"chr1"	32043302	32043318	"IGF2BP3I474M_final,IGF2BP3wt_final"	"+"	12.606	10.104	11.46666667	3.693333333	3.828	9.871428571	"ENSG00000121774.18"	"KHDRBS1"	"protein_coding"	"3UTR"
"chr1"	32175116	32175124	"IGF2BP3I474M_final"	"+"	5.574	4.926666667	8.14	7.428	6.906666667	0.585	"ENSG00000025800.14"	"KPNA6"	"protein_coding"	"3UTR"
"chr1"	32196472	32196480	"IGF2BP3wt_final"	"+"	8.711428571	13.31	0.4	5.915	13.76	4.63	"ENSG00000084652.16"	"TXLNA"	"protein_coding"	"3UTR"
"chr1"	32228732	32228740	"IGF2BP3R525C_final"	"+"	7.05	12.045	8.326666667	0.76	20.02	18.31	"ENSG00000084623.12"	"EIF3I"	"protein_coding"	"CDS"
"chr1"	32331485	32331493	"IGF2BP3wt_final"	"+"	21.90833333	8.0775	4.786666667	8.888571429	8.38	13.228	"ENSG00000116478.12"	"HDAC1"	"protein_coding"	"CDS"
"chr1"	32334052	32334060	"IGF2BP3wt_final"	"-"	9.443333333	6.615714286	0	0	1.57	0	"ENSG00000175130.7"	"MARCKSL1"	"protein_coding"	"3UTR"
"chr1"	32334096	32334104	"IGF2BP3wt_final"	"-"	5.98	10.48875	0	0.156	3.36	5.35	"ENSG00000175130.7"	"MARCKSL1"	"protein_coding"	"3UTR"
"chr1"	32680241	32680249	"IGF2BP3R525C_final"	"+"	3.03	17.19	13.52666667	9.333333333	13.155	26.76833333	"ENSG00000162521.19"	"RBBP4"	"protein_coding"	"3UTR"
"chr1"	32782484	32782492	"IGF2BP3wt_final"	"-"	10.7025	7.684285714	3.556	0	0.696	0	"ENSG00000134684.12"	"YARS1"	"protein_coding"	"CDS"
"chr1"	32782501	32782509	"IGF2BP3I474M_final"	"-"	11.11166667	2.476666667	11.256	9.423333333	4.086666667	0	"ENSG00000134684.12"	"YARS1"	"protein_coding"	"CDS"
"chr1"	35184223	35184236	"IGF2BP3I474M_final,IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	40.075	18.63375	9.933333333	19.40571429	18.52571429	15.35428571	"ENSG00000116560.11"	"SFPQ"	"protein_coding"	"3UTR"
"chr1"	35636358	35636366	"IGF2BP3I474M_final"	"-"	6.568333333	8.271666667	25.125	6.114285714	7.64	6.131428571	"ENSG00000126067.12"	"PSMB2"	"protein_coding"	"CDS"
"chr1"	36301604	36301614	"IGF2BP3R525C_final,IGF2BP3wt_final"	"+"	19.604	16.902	9.97	13.58	12.15333333	13.05	"ENSG00000054118.15"	"THRAP3"	"protein_coding"	"CDS"
"chr1"	36456369	36456377	"IGF2BP3wt_final"	"-"	18.46714286	23.995	0.995	0	0	6.63	"ENSG00000116898.12"	"MRPS15"	"protein_coding"	"CDS"
"chr1"	36460717	36460726	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	18.2	8.876	6.266666667	11.18666667	21.08	11.295	"ENSG00000116898.12"	"MRPS15"	"protein_coding"	"CDS"
"chr1"	39004117	39004125	"IGF2BP3wt_final"	"+"	6.1125	8.795	0.645	8.563333333	0	12.145	"ENSG00000174574.16"	"AKIRIN1"	"protein_coding"	"3UTR"
"chr1"	39004221	39004229	"IGF2BP3wt_final"	"+"	20.46	15.11	3.125	19.46666667	3.516	16.566	"ENSG00000174574.16"	"AKIRIN1"	"protein_coding"	"3UTR"
"chr1"	39005537	39005545	"IGF2BP3wt_final"	"+"	7.2	7.01	6.386666667	1.926666667	9.585	4.543333333	"ENSG00000174574.16"	"AKIRIN1"	"protein_coding"	"3UTR"
"chr1"	39359196	39359204	"IGF2BP3wt_final"	"+"	14.57	7.725	0	5.89	0	7.155	"ENSG00000127603.30"	"MACF1"	"protein_coding"	"CDS"
"chr1"	39409924	39409932	"IGF2BP3wt_final"	"+"	5.86	4.164	0	3.81	5.92	1.223333333	"ENSG00000127603.30"	"MACF1"	"protein_coding"	"5UTR"
"chr1"	39442239	39442247	"IGF2BP3wt_final"	"+"	9.486666667	9.153333333	15.4	0.9666666667	7.86	2.216	"ENSG00000127603.30"	"MACF1"	"protein_coding"	"CDS"
"chr1"	39562133	39562141	"IGF2BP3wt_final"	"-"	12.71	1.722857143	0	0.128	3.82	8.946	"ENSG00000090621.15"	"PABPC4"	"protein_coding"	"CDS"
"chr1"	40064518	40064526	"IGF2BP3R525C_final"	"+"	10.80833333	9.02	8.356666667	1.306666667	18.75666667	5.748	"ENSG00000131236.18"	"CAP1"	"protein_coding"	"CDS"
"chr1"	40067704	40067712	"IGF2BP3R525C_final"	"+"	0	2.166666667	5.628	2.193333333	6.346666667	2.328	"ENSG00000131236.18"	"CAP1"	"protein_coding"	"CDS"
"chr1"	40070250	40070258	"IGF2BP3wt_final"	"+"	14.94	18.27	9.313333333	5.22	5.76	10.48	"ENSG00000131236.18"	"CAP1"	"protein_coding"	"CDS"
"chr1"	40071619	40071627	"IGF2BP3R525C_final"	"+"	14.315	16.535	0.1	12.08	6.56	13.6225	"ENSG00000131236.18"	"CAP1"	"protein_coding"	"3UTR"
"chr1"	40074133	40074141	"IGF2BP3wt_final"	"-"	8.676666667	9.241428571	2.537142857	1.13	5.936666667	0	"ENSG00000131238.18"	"PPT1"	"protein_coding"	"CDS"
"chr1"	40260882	40260890	"IGF2BP3wt_final"	"+"	13.74	15.775	5.54	7.955	4.08	7.5	"ENSG00000084073.10"	"ZMPSTE24"	"protein_coding"	"CDS"
"chr1"	41010214	41010222	"IGF2BP3wt_final"	"+"	7.073333333	13.685	1	4.426666667	7.49	10.58333333	"ENSG00000171793.16"	"CTPS1"	"protein_coding"	"CDS"
"chr1"	41012340	41012348	"IGF2BP3wt_final"	"+"	8.92	6.1875	0	5.855	9.288	1.223333333	"ENSG00000171793.16"	"CTPS1"	"protein_coding"	"3UTR"
"chr1"	42926611	42926620	"IGF2BP3I474M_final,IGF2BP3wt_final"	"-"	36.12	31.48666667	12.34222222	12.9375	31.485	27.75	"ENSG00000117394.24"	"SLC2A1"	"protein_coding"	"3UTR"
"chr1"	42927122	42927130	"IGF2BP3R525C_final"	"-"	2.215	3.75	7.64	1.116	6.94	10.65666667	"ENSG00000117394.24"	"SLC2A1"	"protein_coding"	"CDS"
"chr1"	42929221	42929230	"IGF2BP3I474M_final,IGF2BP3wt_final"	"-"	12.42	19.515	10.765	7.11	10.03	8.372	"ENSG00000117394.24"	"SLC2A1"	"protein_coding"	"CDS"
"chr1"	42954090	42954098	"IGF2BP3wt_final"	"-"	8.1525	4.8225	0	1.693333333	5.928	3.493333333	"ENSG00000117394.24"	"SLC2A1"	"protein_coding"	"intron"
"chr1"	43604029	43604037	"IGF2BP3wt_final"	"+"	12.4275	10.54	6.2	9.235	8.4	7.635	"ENSG00000142949.17"	"PTPRF"	"protein_coding"	"CDS"
"chr1"	43716495	43716503	"IGF2BP3wt_final"	"+"	10.5	12.72	5.58	5.22	15.66	9.815	"ENSG00000283414.1"	"U6"	"snRNA"	"exon"
"chr1"	44776218	44776226	"IGF2BP3wt_final"	"+"	6.73	8.058	2.095	1.305	2.835	6.554	"ENSG00000142937.12"	"RPS8"	"protein_coding"	"intron"
"chr1"	44777726	44777734	"IGF2BP3wt_final"	"+"	23.058	18.61714286	6.862857143	0	19.005	4.776	"ENSG00000142937.12"	"RPS8"	"protein_coding"	"CDS"
"chr1"	44777878	44777890	"IGF2BP3I474M_final,IGF2BP3R525C_final,IGF2BP3wt_final"	"+"	63.90111	77.624	109.2955511	118.4683308	39.86889333	35.90444	"ENSG00000202031.1"	"SNORD38A"	"snoRNA"	"exon"
"chr1"	45511244	45511256	"IGF2BP3I474M_final,IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	26.07	27.51666667	11.50571429	15.46	32.082	15.22454545	"ENSG00000117450.15"	"PRDX1"	"protein_coding"	"3UTR"
"chr1"	45514536	45514544	"IGF2BP3I474M_final"	"-"	0	0.3971428571	9.7675	13.17	10.0125	0.2657142857	"ENSG00000117450.15"	"PRDX1"	"protein_coding"	"CDS"
"chr1"	45514900	45514908	"IGF2BP3wt_final"	"-"	23.23714286	30.15875	33.7	14.9325	46.08667167	4.0175	"ENSG00000117450.15"	"PRDX1"	"protein_coding"	"CDS"
"chr1"	45616647	45616655	"IGF2BP3wt_final"	"+"	13.7	17.152	10.56666667	1.785	2.146666667	11.75	"ENSG00000132780.17"	"NASP"	"protein_coding"	"CDS"
"chr1"	46310304	46310314	"IGF2BP3R525C_final,IGF2BP3wt_final"	"+"	9.407142857	17.01857143	13.1175	7.006666667	8.956666667	11.31	"ENSG00000173660.12"	"UQCRH"	"protein_coding"	"CDS"
"chr1"	47368521	47368529	"IGF2BP3I474M_final"	"+"	10.03	7.81	9.52	10.87	9.27	0.6575	"ENSG00000162368.13"	"CMPK1"	"protein_coding"	"CDS"
"chr1"	47377517	47377526	"IGF2BP3R525C_final,IGF2BP3wt_final"	"+"	17.73125	15.49166667	3.54	21.53714286	21.29714286	6.3125	"ENSG00000162368.13"	"CMPK1"	"protein_coding"	"3UTR"
"chr1"	51787924	51787932	"IGF2BP3wt_final"	"+"	21.46285714	21.64	4.153333333	1.87	14.98	2.89	"ENSG00000117859.19"	"OSBPL9"	"protein_coding"	"3UTR"
"chr1"	52027312	52027327	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	13.35333333	15.755	7.434285714	15.05454545	5.257142857	9.034	"ENSG00000117862.13"	"TXNDC12"	"protein_coding"	"CDS"
"chr1"	53818999	53819007	"IGF2BP3wt_final"	"-"	7.9575	7.68	1.36	0	0	12.315	"ENSG00000058804.12"	"NDC1"	"protein_coding"	"CDS"
"chr1"	54850088	54850096	"IGF2BP3wt_final"	"-"	6.173333333	5.428	2.125	0	16.756	2.934	"ENSG00000116133.13"	"DHCR24"	"protein_coding"	"3UTR"
"chr1"	54850120	54850128	"IGF2BP3wt_final"	"-"	12.60375	9.27375	0	5.98	4.136666667	0	"ENSG00000116133.13"	"DHCR24"	"protein_coding"	"3UTR"
