"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP2a_rep1"	"IGF2BP2a_rep2"	"IGF2BP2b_rep1"	"IGF2BP2b_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr1"	8025292	8025300	"IGF2BP2b_final"	"-"	4.02	6.735	12	14.34	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"intron"
"chr1"	8556498	8556506	"IGF2BP2b_final"	"-"	18.048	3.532	17.85	11.295	"ENSG00000142599.19"	"RERE"	"protein_coding"	"CDS"
"chr1"	8861138	8861146	"IGF2BP2a_final"	"-"	46.23	51.88625	57.345	65.09999714	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"3UTR"
"chr1"	8861367	8861377	"IGF2BP2a_final,IGF2BP2b_final"	"-"	47.63111222	26.672	12.16444444	54.933998	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	8864028	8864036	"IGF2BP2a_final"	"-"	24.2075	18.57571429	6.314285714	17.10857143	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	8870472	8870481	"IGF2BP2a_final,IGF2BP2b_final"	"-"	50.26000333	79.62000222	28.60000556	14.36000667	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	8871906	8871914	"IGF2BP2b_final"	"-"	32.13	50.139995	33.5400025	36.3600025	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	8874896	8874904	"IGF2BP2a_final,IGF2BP2b_final"	"-"	15.49	25.63285714	35.54571429	25.43333333	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	8875736	8875744	"IGF2BP2b_final"	"-"	6.68	3.55	8.58	10.18	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"intron"
"chr1"	9174658	9174666	"IGF2BP2b_final"	"-"	1.28	0.91	6.268	3.866666667	"ENSG00000228526.7"	"MIR34AHG"	"lncRNA"	"intron"
"chr1"	9582624	9582632	"IGF2BP2b_final"	"+"	24.7	17.9725	14.25	15.6	"ENSG00000171612.7"	"SLC25A33"	"protein_coding"	"3UTR"
"chr1"	9755180	9755188	"IGF2BP2a_final"	"-"	6.616666667	5.253333333	3.745	11.355	"ENSG00000171603.18"	"CLSTN1"	"protein_coding"	"CDS"
"chr1"	9850203	9850211	"IGF2BP2a_final"	"-"	12.00666667	9.011666667	0.232	1.565	"ENSG00000178585.15"	"CTNNBIP1"	"protein_coding"	"3UTR"
"chr1"	10272251	10272259	"IGF2BP2a_final"	"+"	9.03	9.082	7.644	0.52	"ENSG00000054523.18"	"KIF1B"	"protein_coding"	"CDS"
"chr1"	10275470	10275478	"IGF2BP2b_final"	"+"	3.99	4.095	13.68	13.78	"ENSG00000054523.18"	"KIF1B"	"protein_coding"	"CDS"
"chr1"	10377228	10377236	"IGF2BP2b_final"	"+"	5.488	4.165	8.99	9.03	"ENSG00000054523.18"	"KIF1B"	"protein_coding"	"3UTR"
"chr1"	10400416	10400424	"IGF2BP2b_final"	"+"	0.86	0	16.4	3.283333333	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10403096	10403106	"IGF2BP2a_final,IGF2BP2b_final"	"+"	13.42285714	19.087	16.51714286	9.69	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10416998	10417006	"IGF2BP2b_final"	"+"	2.91	0.365	14.652	12.248	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10417070	10417078	"IGF2BP2a_final"	"+"	5.656	10.214	9.76	17.052	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10417386	10417394	"IGF2BP2b_final"	"+"	3.09	3.864285714	13.92	20.36333333	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10418862	10418872	"IGF2BP2a_final,IGF2BP2b_final"	"+"	71.784002	59.86875	39.18	37.79555556	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10419506	10419514	"IGF2BP2b_final"	"+"	4.11	0	8.1	5.36	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10419842	10419850	"IGF2BP2a_final"	"+"	8.02	10.125	2.32	5.13	"ENSG00000142657.21"	"PGD"	"protein_coding"	"3UTR"
"chr1"	10420074	10420082	"IGF2BP2a_final"	"+"	10.725	19.48	4.74	2.32	"ENSG00000142657.21"	"PGD"	"protein_coding"	"3UTR"
"chr1"	10420240	10420248	"IGF2BP2a_final"	"+"	8.96	14.652	5.73	4.286666667	"ENSG00000142657.21"	"PGD"	"protein_coding"	"3UTR"
"chr1"	11018784	11018792	"IGF2BP2a_final,IGF2BP2b_final"	"+"	9.3425	15.64	13.475	12.46857143	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11023012	11023023	"IGF2BP2a_final,IGF2BP2b_final"	"+"	16.63	19.98181818	23.9625	11.93714286	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"3UTR"
"chr1"	11023260	11023268	"IGF2BP2a_final"	"+"	8.4	11.71	0.2	7.284	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"3UTR"
"chr1"	11055053	11055061	"IGF2BP2b_final"	"-"	0	7.19	6.87	9.14	"ENSG00000116649.10"	"SRM"	"protein_coding"	"CDS"
"chr1"	11056644	11056654	"IGF2BP2a_final,IGF2BP2b_final"	"-"	10.29	6.735	19.03	11.91333333	"ENSG00000116649.10"	"SRM"	"protein_coding"	"CDS"
"chr1"	11059242	11059250	"IGF2BP2b_final"	"-"	1.77	0	5.22	4.02	"ENSG00000116649.10"	"SRM"	"protein_coding"	"CDS"
"chr1"	11072128	11072136	"IGF2BP2a_final"	"-"	15.825	13.8375	8.985	0	"ENSG00000171824.14"	"EXOSC10"	"protein_coding"	"CDS"
"chr1"	11074264	11074272	"IGF2BP2b_final"	"-"	8.04	8.616666667	12.98	7.88	"ENSG00000171824.14"	"EXOSC10"	"protein_coding"	"CDS"
"chr1"	11107031	11107039	"IGF2BP2a_final"	"-"	8.625	7.433333333	3.806666667	1.75	"ENSG00000198793.13"	"MTOR"	"protein_coding"	"3UTR"
"chr1"	11152379	11152387	"IGF2BP2a_final"	"+"	30.84	31.67	21.72	12.56	"ENSG00000253086.1"	"RNU6-537P"	"snRNA"	"exon"
"chr1"	11909878	11909886	"IGF2BP2b_final"	"-"	143.6325025	274.9062512	125.1075038	133.5800013	"ENSG00000201801.1"	"RNU5E-4P"	"snRNA"	"exon"
"chr1"	11920257	11920265	"IGF2BP2a_final"	"-"	3.45	4.005	8.01	1.86	"ENSG00000116685.16"	"KIAA2013"	"protein_coding"	"3UTR"
"chr1"	11923457	11923465	"IGF2BP2b_final"	"-"	0	13.2675	9.675	4.42	"ENSG00000116685.16"	"KIAA2013"	"protein_coding"	"CDS"
"chr1"	12011797	12011805	"IGF2BP2a_final"	"+"	4.93	7.83	4.36	0	"ENSG00000116688.18"	"MFN2"	"protein_coding"	"3UTR"
"chr1"	12617670	12617682	"IGF2BP2a_final,IGF2BP2b_final"	"-"	8.631428571	17.13833333	15.39	19.5	"ENSG00000162496.9"	"DHRS3"	"protein_coding"	"5UTR"
"chr1"	15571896	15571904	"IGF2BP2a_final,IGF2BP2b_final"	"-"	21.22	24.808	26.16	8.25	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"3UTR"
"chr1"	15573476	15573490	"IGF2BP2a_final,IGF2BP2b_final"	"-"	30.675	16.60916667	16.54153846	7.678333333	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"3UTR"
"chr1"	15583194	15583202	"IGF2BP2b_final"	"-"	11.53142857	8.728333333	23.86	17.76333333	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"CDS"
"chr1"	15660003	15660011	"IGF2BP2b_final"	"+"	2.28	3.185	6.84	7.54	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	15660389	15660397	"IGF2BP2a_final"	"+"	25.38	9.075	1.94	0.12	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	15660830	15660838	"IGF2BP2a_final"	"+"	6.3	6.583333333	12.57	3.94	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	15661458	15661466	"IGF2BP2a_final"	"+"	16.45	14.178	8.75	13.076	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	15664616	15664624	"IGF2BP2a_final"	"+"	9.12	10.6925	3.42	3.64	"ENSG00000197312.12"	"DDI2"	"protein_coding"	"3UTR"
"chr1"	16130264	16130272	"IGF2BP2b_final"	"-"	0	0.1233333333	5.18	6.006666667	"ENSG00000142627.13"	"EPHA2"	"protein_coding"	"CDS"
"chr1"	16132401	16132409	"IGF2BP2b_final"	"-"	0	0.128	4.095	7.513333333	"ENSG00000142627.13"	"EPHA2"	"protein_coding"	"CDS"
"chr1"	16740640	16740648	"IGF2BP2a_final"	"+"	55.77874875	57.665	84.4212525	38.63625	"ENSG00000207389.1"	"RNU1-4"	"snRNA"	"exon"
"chr1"	17018938	17018946	"IGF2BP2b_final"	"-"	8.865	0	7.896	8.62	"ENSG00000117118.10"	"SDHB"	"protein_coding"	"CDS"
"chr1"	19074864	19074872	"IGF2BP2b_final"	"-"	5.593333333	8.304	5.972	5.9	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19084518	19084528	"IGF2BP2a_final,IGF2BP2b_final"	"-"	7.6	20.28	14.06	8.32	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19095580	19095590	"IGF2BP2a_final,IGF2BP2b_final"	"-"	14.09	15.85428571	10.14857143	9.5475	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19106586	19106594	"IGF2BP2a_final"	"-"	4.824	9.4425	4.14	6.615	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19113804	19113812	"IGF2BP2a_final"	"-"	8.253333333	8.195	0	4.693333333	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19114911	19114919	"IGF2BP2a_final"	"-"	7.44	8.1	0.3	5.5	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19144889	19144897	"IGF2BP2a_final"	"-"	8.895	6.933333333	9.465	0	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19151816	19151824	"IGF2BP2a_final"	"-"	8.92	5.39	5.297142857	0.716	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19161836	19161844	"IGF2BP2b_final"	"-"	34.94285714	42.118	42.99428571	26.13333333	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19167048	19167056	"IGF2BP2a_final"	"-"	14.88	4.976666667	0.63	6.008	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19169481	19169489	"IGF2BP2a_final"	"-"	9.492	5.734	8.808	10.076	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19173281	19173289	"IGF2BP2a_final"	"-"	8.02	9.1925	0	5.465	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19173540	19173548	"IGF2BP2a_final"	"-"	5.22	19.204	0	4.644	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19183824	19183836	"IGF2BP2a_final,IGF2BP2b_final"	"-"	5.38	5.735	8.61	5.8	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19187517	19187525	"IGF2BP2b_final"	"-"	4.905	0.5925	5.76	5.8	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19197746	19197754	"IGF2BP2a_final"	"-"	8.96	5.37	2.88	2.9	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19198850	19198858	"IGF2BP2a_final"	"-"	20.028	6.805	2.592	0.895	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19219626	19219634	"IGF2BP2a_final"	"-"	10.188	9.538	0	2.233333333	"ENSG00000127463.15"	"EMC1"	"protein_coding"	"CDS"
"chr1"	19239977	19239985	"IGF2BP2b_final"	"-"	0	1.32	6.72	6.786666667	"ENSG00000127463.15"	"EMC1"	"protein_coding"	"CDS"
"chr1"	19240307	19240315	"IGF2BP2b_final"	"-"	0	3.095	6.98	4.56	"ENSG00000127463.15"	"EMC1"	"protein_coding"	"CDS"
"chr1"	19255963	19255971	"IGF2BP2a_final"	"+"	6.273333333	7.632	2.377142857	7.333333333	"ENSG00000053372.5"	"MRTO4"	"protein_coding"	"CDS"
"chr1"	19339570	19339578	"IGF2BP2a_final"	"-"	46.44285714	36.73571429	27.2725	21.0525	"ENSG00000077549.19"	"CAPZB"	"protein_coding"	"CDS"
"chr1"	19344377	19344385	"IGF2BP2a_final"	"-"	7.975	15.24285714	7.794285714	13.075	"ENSG00000077549.19"	"CAPZB"	"protein_coding"	"CDS"
"chr1"	19356659	19356667	"IGF2BP2b_final"	"-"	0.18	0.9133333333	10.6	8.086666667	"ENSG00000077549.19"	"CAPZB"	"protein_coding"	"CDS"
"chr1"	19357538	19357546	"IGF2BP2b_final"	"-"	9.69	6.868571429	16.44	9.2	"ENSG00000077549.19"	"CAPZB"	"protein_coding"	"CDS"
"chr1"	19378543	19378551	"IGF2BP2a_final"	"-"	14.23	13.84	9.67	9.68	"ENSG00000077549.19"	"CAPZB"	"protein_coding"	"CDS"
"chr1"	20482440	20482452	"IGF2BP2a_final,IGF2BP2b_final"	"-"	9.7375	15.3125	13.69428571	6.531428571	"ENSG00000162545.6"	"CAMK2N1"	"protein_coding"	"3UTR"
"chr1"	20482512	20482520	"IGF2BP2b_final"	"-"	15.74	20.20428571	16.51714286	4.835	"ENSG00000162545.6"	"CAMK2N1"	"protein_coding"	"3UTR"
"chr1"	20483175	20483183	"IGF2BP2b_final"	"-"	16.8725	11.4125	22.18	18.60571429	"ENSG00000162545.6"	"CAMK2N1"	"protein_coding"	"3UTR"
"chr1"	20483284	20483292	"IGF2BP2b_final"	"-"	36.77142857	40.84	28.33	32.26	"ENSG00000162545.6"	"CAMK2N1"	"protein_coding"	"3UTR"
"chr1"	20483548	20483557	"IGF2BP2a_final,IGF2BP2b_final"	"-"	20.66666667	12.62222222	26.035	17.6625	"ENSG00000162545.6"	"CAMK2N1"	"protein_coding"	"3UTR"
"chr1"	20652403	20652411	"IGF2BP2b_final"	"-"	5.02	5.5	10.74333333	11.40571429	"ENSG00000244038.11"	"DDOST"	"protein_coding"	"CDS"
"chr1"	20652706	20652714	"IGF2BP2a_final"	"-"	18.555	18.292	9.34	3.42	"ENSG00000244038.11"	"DDOST"	"protein_coding"	"CDS"
"chr1"	20652935	20652943	"IGF2BP2a_final"	"-"	12.632	14.71333333	13.66666667	8.072	"ENSG00000244038.11"	"DDOST"	"protein_coding"	"CDS"
"chr1"	20653654	20653662	"IGF2BP2b_final"	"-"	1.74	3.095	12.57	8.1	"ENSG00000244038.11"	"DDOST"	"protein_coding"	"CDS"
"chr1"	20655679	20655692	"IGF2BP2a_final,IGF2BP2b_final"	"-"	27.1	26.80272727	16.74888889	23.495	"ENSG00000244038.11"	"DDOST"	"protein_coding"	"CDS"
"chr1"	20742990	20742998	"IGF2BP2b_final"	"-"	12.16	14.56	11.4	10.4	"ENSG00000127483.19"	"HP1BP3"	"protein_coding"	"3UTR"
"chr1"	20749738	20749746	"IGF2BP2b_final"	"-"	0.26	2.388	9.66	6.993333333	"ENSG00000127483.19"	"HP1BP3"	"protein_coding"	"CDS"
"chr1"	20767608	20767616	"IGF2BP2a_final"	"-"	5.62	10.255	2.884	5.106666667	"ENSG00000127483.19"	"HP1BP3"	"protein_coding"	"CDS"
"chr1"	20886312	20886320	"IGF2BP2a_final"	"-"	8.56	7.163333333	0.03	0.7066666667	"ENSG00000075151.22"	"EIF4G3"	"protein_coding"	"CDS"
"chr1"	21747124	21747132	"IGF2BP2b_final"	"-"	16.772	4.37	13.12666667	5.95	"ENSG00000090686.16"	"USP48"	"protein_coding"	"CDS"
"chr1"	22092668	22092676	"IGF2BP2a_final"	"+"	4.71	1.988333333	9.516	1.686666667	"ENSG00000070831.17"	"CDC42"	"protein_coding"	"3UTR"
"chr1"	22092713	22092721	"IGF2BP2b_final"	"+"	4.524	7.756	15.57	12.29	"ENSG00000070831.17"	"CDC42"	"protein_coding"	"3UTR"
"chr1"	23050480	23050488	"IGF2BP2b_final"	"+"	4.74	2.913333333	11.44	8.25	"ENSG00000004487.17"	"KDM1A"	"protein_coding"	"CDS"
"chr1"	23077301	23077309	"IGF2BP2b_final"	"+"	2.88	4.611666667	9.15	15.9	"ENSG00000004487.17"	"KDM1A"	"protein_coding"	"CDS"
"chr1"	23081523	23081531	"IGF2BP2a_final"	"+"	14.84	5.001666667	1.91	2.143333333	"ENSG00000004487.17"	"KDM1A"	"protein_coding"	"CDS"
"chr1"	23082300	23082308	"IGF2BP2a_final"	"+"	9.674285714	6.7125	5.935	5.445	"ENSG00000004487.17"	"KDM1A"	"protein_coding"	"CDS"
"chr1"	23082311	23082319	"IGF2BP2b_final"	"+"	5.855	5.613333333	12.036	6.046666667	"ENSG00000004487.17"	"KDM1A"	"protein_coding"	"CDS"
"chr1"	23083448	23083456	"IGF2BP2a_final"	"+"	10.128	4.856666667	10.65	7.616	"ENSG00000004487.17"	"KDM1A"	"protein_coding"	"3UTR"
"chr1"	23693818	23693833	"IGF2BP2a_final,IGF2BP2b_final"	"+"	341.8159947	329.0279933	218.9442864	360.3046085	"ENSG00000142676.14"	"RPL11"	"protein_coding"	"CDS"
"chr1"	23694724	23694732	"IGF2BP2b_final"	"+"	29.80285714	52.89285714	13.905	79.06499875	"ENSG00000142676.14"	"RPL11"	"protein_coding"	"CDS"
"chr1"	23696376	23696384	"IGF2BP2a_final"	"+"	12.288	14.876	11.22	14.46	"ENSG00000142676.14"	"RPL11"	"protein_coding"	"3UTR"
"chr1"	23969582	23969590	"IGF2BP2a_final"	"-"	16.872	12.74	3.99	14.04	"ENSG00000188529.15"	"SRSF10"	"protein_coding"	"3UTR"
"chr1"	23971962	23971970	"IGF2BP2a_final"	"-"	13.952	5.866	2.456666667	1.146666667	"ENSG00000188529.15"	"SRSF10"	"protein_coding"	"CDS"
"chr1"	23977992	23978000	"IGF2BP2a_final"	"-"	6.57	6.78	3.72	8.73	"ENSG00000188529.15"	"SRSF10"	"protein_coding"	"3UTR"
"chr1"	24648886	24648894	"IGF2BP2b_final"	"+"	12.624	17.22	17.85	9.466666667	"ENSG00000133226.17"	"SRRM1"	"protein_coding"	"CDS"
"chr1"	24840806	24840814	"IGF2BP2a_final"	"+"	29.81	55.14833333	12.732	22.64	"ENSG00000169504.15"	"CLIC4"	"protein_coding"	"CDS"
"chr1"	24841590	24841598	"IGF2BP2b_final"	"+"	24.57	21.114	26.85	20.36	"ENSG00000169504.15"	"CLIC4"	"protein_coding"	"3UTR"
"chr1"	24841806	24841818	"IGF2BP2a_final,IGF2BP2b_final"	"+"	9.27	11.0225	14.256	12.01	"ENSG00000169504.15"	"CLIC4"	"protein_coding"	"3UTR"
"chr1"	24842855	24842863	"IGF2BP2a_final"	"+"	12.75428571	5.143333333	12.5	1.155	"ENSG00000169504.15"	"CLIC4"	"protein_coding"	"3UTR"
"chr1"	25360851	25360859	"IGF2BP2b_final"	"+"	21.72	6.19	12.6	12.04	"ENSG00000183726.11"	"TMEM50A"	"protein_coding"	"3UTR"
"chr1"	25900752	25900760	"IGF2BP2b_final"	"-"	15.89333333	16.65714286	4.003333333	6.413333333	"ENSG00000117632.23"	"STMN1"	"protein_coding"	"3UTR"
"chr1"	25903713	25903726	"IGF2BP2a_final,IGF2BP2b_final"	"-"	13.814	18.72	10.7575	7.06	"ENSG00000117632.23"	"STMN1"	"protein_coding"	"CDS"
"chr1"	26771212	26771220	"IGF2BP2a_final"	"+"	9.69	8.19	1.14	11.44	"ENSG00000117713.20"	"ARID1A"	"protein_coding"	"CDS"
"chr1"	26780654	26780664	"IGF2BP2a_final,IGF2BP2b_final"	"+"	15.3	11.52833333	6.325714286	10.25666667	"ENSG00000117713.20"	"ARID1A"	"protein_coding"	"CDS"
"chr1"	26781352	26781360	"IGF2BP2b_final"	"+"	2.12	7.493333333	6.3	8.88	"ENSG00000117713.20"	"ARID1A"	"protein_coding"	"3UTR"
"chr1"	26911554	26911562	"IGF2BP2b_final"	"-"	4.4325	1.185	5.784	4.725	"ENSG00000131910.5"	"NR0B2"	"protein_coding"	"3UTR"
"chr1"	26911682	26911690	"IGF2BP2a_final"	"-"	7.824	5.371666667	6.804	5.822857143	"ENSG00000131910.5"	"NR0B2"	"protein_coding"	"3UTR"
"chr1"	26946162	26946170	"IGF2BP2a_final"	"+"	9.612	5.12	6.42	0.8933333333	"ENSG00000090273.14"	"NUDC"	"protein_coding"	"CDS"
