Uniprot ID;Gene name;Protein name;MCF7 pre15 confluent;MCF7 pre30 confluent;MCF7 pre15 half confluent;MCF7 pre30 half confluent;MCF7 combined;HEK293 pre15 confluent;HEK293 pre30 confluent;HEK293 pre15 half confluent;HEK293 pre30 half confluent;HEK293 combined;HeLa pre15 confluent;HeLa pre30 confluent;HeLa pre15 half confluent;HeLa pre30 half confluent;HeLa combined;all combined;MCF7 RBP;HEK293 RBP;HeLa RBP;ihRBP
P48634;PRRC2A;Protein PRRC2A;19;16;23;17;32;16;10;26;19;38;8;5;24;15;30;49;non-poly(A);poly(A);non-poly(A);poly(A)
Q00839;HNRNPU;Heterogeneous nuclear ribonucleoprotein U;20;19;21;17;32;9;13;11;11;26;19;16;12;9;35;49;poly(A);poly(A);poly(A);poly(A)
O60506;SYNCRIP;Heterogeneous nuclear ribonucleoprotein Q;33;38;33;36;43;27;37;27;28;39;29;32;25;17;37;47;poly(A);poly(A);poly(A);poly(A)
O75533;SF3B1;Splicing factor 3B subunit 1;18;18;20;16;32;28;24;18;10;38;17;15;20;15;33;47;poly(A);poly(A);poly(A);poly(A)
P35579;MYH9;Myosin-9;5;6;14;23;28;5;2;8;5;18;5;3;8;5;19;47;non-poly(A);poly(A);non-poly(A);poly(A)
Q12906;ILF3;Interleukin enhancer-binding factor 3;30;30;25;26;36;28;30;25;23;45;24;21;24;20;33;47;poly(A);poly(A);poly(A);poly(A)
Q86UP2;KTN1;Kinectin;15;11;14;13;25;9;3;11;8;21;14;6;18;20;37;47;poly(A);non-poly(A);poly(A);poly(A)
Q9Y4C8;RBM19;Probable RNA-binding protein 19;31;24;25;31;39;15;19;18;20;32;24;19;21;19;37;47;poly(A);poly(A);poly(A);poly(A)
P23246;SFPQ;Splicing factor, proline- and glutamine-rich;31;34;29;36;41;28;28;29;24;39;23;27;29;26;36;46;poly(A);poly(A);poly(A);poly(A)
Q14692;BMS1;Ribosome biogenesis protein BMS1 homolog;27;26;26;25;33;22;25;22;21;35;17;16;24;22;36;46;poly(A);poly(A);poly(A);poly(A)
Q92900;UPF1;Regulator of nonsense transcripts 1;28;32;35;34;41;20;18;30;26;34;26;15;26;24;38;46;poly(A);poly(A);poly(A);poly(A)
Q92945;KHSRP;Far upstream element-binding protein 2;38;35;33;30;44;27;31;31;30;42;32;30;26;25;38;46;poly(A);poly(A);poly(A);poly(A)
O76021;RSL1D1;Ribosomal L1 domain-containing protein 1;30;31;32;34;42;11;26;15;15;34;20;17;18;16;30;45;poly(A);poly(A);poly(A);poly(A)
P43243;MATR3;Matrin-3;18;23;21;23;34;26;27;24;20;41;21;20;19;19;33;45;poly(A);poly(A);poly(A);poly(A)
Q03701;CEBPZ;CCAAT/enhancer-binding protein zeta;20;18;28;26;36;26;22;22;16;36;20;23;27;25;37;44;poly(A);poly(A);poly(A);poly(A)
Q96T37;RBM15;Putative RNA-binding protein 15;24;21;20;23;35;23;19;22;20;33;17;10;23;21;33;44;poly(A);poly(A);poly(A);poly(A)
Q9NW13;RBM28;RNA-binding protein 28;21;25;25;28;34;22;24;20;20;35;26;19;26;16;38;43;poly(A);poly(A);poly(A);poly(A)
P13010;XRCC5;X-ray repair cross-complementing protein 5;17;22;26;26;32;17;19;22;20;35;16;17;16;10;28;42;poly(A);poly(A);poly(A);poly(A)
Q08J23;NSUN2;tRNA (cytosine(34)-C(5))-methyltransferase;9;8;14;14;21;11;10;22;17;26;23;17;28;23;41;41;poly(A);poly(A);poly(A);poly(A)
Q96GQ7;DDX27;Probable ATP-dependent RNA helicase DDX27;25;19;23;23;32;15;14;17;11;28;21;16;23;24;35;41;poly(A);poly(A);poly(A);poly(A)
Q96PK6;RBM14;RNA-binding protein 14;29;30;30;29;37;26;25;27;28;34;29;26;26;25;33;41;poly(A);poly(A);poly(A);poly(A)
Q9HCE1;MOV10;Putative helicase MOV-10;30;23;24;29;39;19;17;19;19;31;8;8;17;15;21;41;poly(A);poly(A);poly(A);poly(A)
O00571;DDX3X;ATP-dependent RNA helicase DDX3X;25;25;28;32;38;17;19;21;19;31;15;10;24;19;28;40;poly(A);poly(A);poly(A);poly(A)
Q15233;NONO;Non-POU domain-containing octamer-binding protein;33;30;27;27;37;20;29;20;22;35;30;27;15;17;32;40;poly(A);poly(A);poly(A);poly(A)
Q8IXT5;RBM12B;RNA-binding protein 12B;18;16;16;13;27;15;14;15;18;30;17;13;10;10;22;40;poly(A);poly(A);poly(A);poly(A)
Q8NC51;SERBP1;Plasminogen activator inhibitor 1 RNA-binding protein;27;29;25;30;35;21;32;23;18;36;16;22;17;18;26;40;non-poly(A);poly(A);poly(A);poly(A)
Q92616;GCN1;eIF-2-alpha kinase activator GCN1;8;11;9;11;25;4;5;15;11;29;3;NA;5;2;9;40;non-poly(A);poly(A);non-poly(A);poly(A)
P23588;EIF4B;Eukaryotic translation initiation factor 4B;21;19;25;22;32;11;18;16;11;26;12;9;20;18;28;39;poly(A);poly(A);poly(A);poly(A)
P27816;MAP4;Microtubule-associated protein 4;13;7;13;17;22;12;9;12;14;25;5;2;22;21;30;39;poly(A);poly(A);poly(A);poly(A)
Q04637;EIF4G1;Eukaryotic translation initiation factor 4 gamma 1;16;11;18;23;30;7;2;17;14;23;6;2;22;13;27;39;non-poly(A);poly(A);poly(A);poly(A)
Q4G0J3;LARP7;La-related protein 7;31;27;25;28;37;21;24;16;13;29;21;17;19;13;26;39;non-poly(A);poly(A);poly(A);poly(A)
O43390;HNRNPR;Heterogeneous nuclear ribonucleoprotein R;30;34;29;25;35;30;32;26;24;36;25;25;24;23;32;38;poly(A);poly(A);poly(A);poly(A)
P12956;XRCC6;X-ray repair cross-complementing protein 6;15;17;18;20;27;15;18;18;17;27;20;13;21;16;29;38;poly(A);poly(A);poly(A);poly(A)
P22626;HNRNPA2B1;Heterogeneous nuclear ribonucleoproteins A2/B1;32;29;33;33;36;26;31;26;23;33;30;31;28;26;35;38;poly(A);poly(A);poly(A);poly(A)
Q13823;GNL2;Nucleolar GTP-binding protein 2;16;18;21;19;26;13;21;19;19;31;23;22;22;25;36;38;poly(A);poly(A);poly(A);poly(A)
Q8TED0;UTP15;U3 small nucleolar RNA-associated protein 15 homolog;21;22;20;23;32;14;19;17;19;26;18;16;19;16;27;38;poly(A);poly(A);poly(A);poly(A)
O15226;NKRF;NF-kappa-B-repressing factor;15;16;16;19;30;12;5;14;11;22;12;8;19;12;24;37;poly(A);poly(A);poly(A);poly(A)
Q7KZ85;SUPT6H;Transcription elongation factor SPT6;8;11;11;11;21;8;7;15;14;27;13;5;16;8;25;37;poly(A);poly(A);poly(A);poly(A)
Q9BZE4;GTPBP4;Nucleolar GTP-binding protein 1;22;21;28;25;33;17;19;19;14;28;21;16;22;20;31;37;poly(A);poly(A);poly(A);poly(A)
P17844;DDX5;Probable ATP-dependent RNA helicase DDX5;22;24;24;24;34;18;19;18;17;29;14;14;19;13;27;36;poly(A);poly(A);poly(A);poly(A)
P05455;SSB;Lupus La protein;16;15;13;11;22;21;25;15;15;32;8;11;10;10;15;35;poly(A);poly(A);poly(A);poly(A)
P14866;HNRNPL;Heterogeneous nuclear ribonucleoprotein L;21;27;24;23;31;17;26;17;18;28;17;15;17;18;24;35;poly(A);poly(A);poly(A);poly(A)
P21333;FLNA;Filamin-A;6;2;6;8;15;4;3;9;10;19;3;NA;3;10;15;35;poly(A);poly(A);poly(A);poly(A)
P24928;POLR2A;DNA-directed RNA polymerase II subunit RPB1;7;8;6;8;18;7;6;9;7;13;13;6;15;7;27;35;non-poly(A);poly(A);non-poly(A);poly(A)
P42696;RBM34;RNA-binding protein 34;16;14;16;17;26;10;13;10;13;26;21;10;14;20;27;35;poly(A);poly(A);poly(A);poly(A)
Q8NE71;ABCF1;ATP-binding cassette sub-family F member 1;13;16;17;16;27;8;11;12;16;24;4;5;15;10;20;35;poly(A);poly(A);poly(A);poly(A)
O60306;AQR;Intron-binding protein aquarius;8;10;14;7;20;12;10;22;15;30;16;10;17;10;26;34;poly(A);poly(A);poly(A);poly(A)
P13639;EEF2;Elongation factor 2;13;13;16;17;26;11;17;6;10;27;9;10;6;8;21;34;poly(A);poly(A);poly(A);poly(A)
P61978;HNRNPK;Heterogeneous nuclear ribonucleoprotein K;24;26;21;28;32;25;28;25;24;32;23;25;22;19;31;34;non-poly(A);poly(A);poly(A);poly(A)
Q96I24;FUBP3;Far upstream element-binding protein 3;31;32;24;25;34;25;25;22;21;29;22;19;23;21;26;34;poly(A);poly(A);poly(A);poly(A)
Q9P2E9;RRBP1;Ribosome-binding protein 1;7;4;4;4;14;NA;3;6;4;11;7;3;8;5;18;34;poly(A);poly(A);non-poly(A);poly(A)
P49327;FASN;Fatty acid synthase;8;5;11;13;21;3;1;10;8;18;3;4;8;9;17;33;poly(A);poly(A);poly(A);poly(A)
P51991;HNRNPA3;Heterogeneous nuclear ribonucleoprotein A3;23;27;24;26;30;18;27;17;17;31;20;21;16;14;24;33;poly(A);poly(A);poly(A);poly(A)
P55265;ADAR;Double-stranded RNA-specific adenosine deaminase;21;19;16;18;28;11;15;11;11;23;15;13;19;14;29;33;poly(A);poly(A);poly(A);poly(A)
P78332;RBM6;RNA-binding protein 6;7;6;5;3;12;5;4;14;11;20;12;5;13;10;24;33;poly(A);poly(A);poly(A);poly(A)
Q8IX01;SUGP2;SURP and G-patch domain-containing protein 2;9;7;7;5;17;10;17;18;14;29;15;5;12;14;26;33;poly(A);poly(A);poly(A);poly(A)
Q8IY81;FTSJ3;pre-rRNA processing protein FTSJ3;16;14;18;16;26;15;16;21;14;26;18;20;21;18;31;33;poly(A);poly(A);poly(A);poly(A)
Q9H0D6;XRN2;5'-3' exoribonuclease 2;16;18;17;15;28;8;4;13;13;22;9;4;13;10;18;33;poly(A);poly(A);poly(A);poly(A)
O75152;ZC3H11A;Zinc finger CCCH domain-containing protein 11A;19;13;13;16;24;9;9;12;10;20;16;4;10;12;24;32;poly(A);poly(A);poly(A);poly(A)
Q14789;GOLGB1;Golgin subfamily B member 1;2;1;3;5;6;NA;NA;5;NA;5;5;NA;15;13;27;32;non-poly(A);non-poly(A);poly(A);poly(A)
Q14966;ZNF638;Zinc finger protein 638;9;5;3;4;13;4;5;9;8;17;10;6;11;13;24;32;poly(A);poly(A);poly(A);poly(A)
O00567;NOP56;Nucleolar protein 56;9;15;10;17;23;13;17;13;9;26;10;10;12;6;19;31;poly(A);poly(A);poly(A);poly(A)
Q8WTT2;NOC3L;Nucleolar complex protein 3 homolog;12;16;14;17;24;18;15;15;10;26;18;18;19;18;27;31;poly(A);poly(A);poly(A);poly(A)
Q9GZR7;DDX24;ATP-dependent RNA helicase DDX24;17;13;21;24;25;9;8;16;15;20;16;7;20;18;25;31;poly(A);poly(A);poly(A);poly(A)
O00267;SUPT5H;Transcription elongation factor SPT5;9;7;4;7;15;10;7;6;8;19;10;6;8;6;18;30;poly(A);poly(A);poly(A);poly(A)
P39023;RPL3;60S ribosomal protein L3;13;15;22;20;28;11;16;11;12;24;8;9;13;11;19;30;poly(A);poly(A);poly(A);poly(A)
Q07065;CKAP4;Cytoskeleton-associated protein 4;12;8;10;13;19;7;9;7;6;14;14;9;21;22;28;30;poly(A);poly(A);poly(A);poly(A)
Q14204;DYNC1H1;Cytoplasmic dynein 1 heavy chain 1;2;3;3;1;8;2;3;15;11;24;NA;NA;2;1;2;30;non-poly(A);poly(A);poly(A);poly(A)
Q8IWA0;WDR75;WD repeat-containing protein 75;15;18;16;16;24;13;18;6;9;26;11;16;5;6;21;30;non-poly(A);poly(A);poly(A);poly(A)
Q9H0A0;NAT10;RNA cytidine acetyltransferase;5;9;9;11;19;5;7;11;8;21;9;8;15;14;23;30;poly(A);poly(A);poly(A);poly(A)
Q9P2K5;MYEF2;Myelin expression factor 2;22;23;14;20;29;11;13;11;10;18;NA;NA;NA;NA;NA;30;non-poly(A);poly(A);NA;poly(A)
Q9UHX1;PUF60;Poly(U)-binding-splicing factor PUF60;18;20;18;18;24;13;19;15;18;29;19;17;15;13;25;30;poly(A);poly(A);poly(A);poly(A)
P11940;PABPC1;Polyadenylate-binding protein 1;18;18;26;24;29;15;14;19;20;23;17;13;19;16;23;29;poly(A);poly(A);poly(A);poly(A)
P18583;SON;Protein SON;9;9;5;4;15;5;5;1;3;14;4;2;2;1;7;29;poly(A);poly(A);poly(A);poly(A)
P46087;NOP2;Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase;16;12;22;19;24;13;15;12;11;20;15;13;12;14;26;29;poly(A);poly(A);poly(A);poly(A)
Q14103;HNRNPD;Heterogeneous nuclear ribonucleoprotein D0;19;20;13;11;22;16;27;13;9;27;15;19;9;10;21;29;poly(A);poly(A);poly(A);poly(A)
Q1KMD3;HNRNPUL2;Heterogeneous nuclear ribonucleoprotein U-like protein 2;16;16;15;11;24;12;9;15;12;21;8;7;14;14;17;29;poly(A);poly(A);poly(A);poly(A)
Q7Z2W4;ZC3HAV1;Zinc finger CCCH-type antiviral protein 1;15;14;17;17;22;9;6;14;13;19;15;10;17;18;26;29;non-poly(A);poly(A);poly(A);poly(A)
Q9H8H0;NOL11;Nucleolar protein 11;9;10;10;6;19;11;13;8;11;21;12;12;10;7;19;29;non-poly(A);poly(A);poly(A);poly(A)
Q9UKM9;RALY;RNA-binding protein Raly;21;23;19;21;25;18;20;19;18;25;15;17;15;16;22;29;non-poly(A);poly(A);poly(A);poly(A)
A0AV96;RBM47;RNA-binding protein 47;22;23;18;20;25;8;7;4;7;11;19;17;20;18;25;28;poly(A);poly(A);poly(A);poly(A)
O60287;URB1;Nucleolar pre-ribosomal-associated protein 1;18;12;13;12;23;10;6;14;10;19;7;4;12;14;19;28;poly(A);poly(A);poly(A);poly(A)
P15880;RPS2;40S ribosomal protein S2;19;21;20;24;25;16;19;16;17;24;14;16;15;15;21;28;poly(A);poly(A);poly(A);poly(A)
P36578;RPL4;60S ribosomal protein L4;9;14;11;7;20;11;9;12;11;25;6;9;6;6;16;28;poly(A);poly(A);poly(A);poly(A)
P78316;NOP14;Nucleolar protein 14;10;14;14;13;20;9;10;15;10;22;10;10;12;12;21;28;poly(A);poly(A);poly(A);poly(A)
Q14684;RRP1B;Ribosomal RNA processing protein 1 homolog B;11;15;11;10;18;14;18;14;17;26;15;13;18;16;26;28;poly(A);poly(A);poly(A);poly(A)
Q5QJE6;DNTTIP2;Deoxynucleotidyltransferase terminal-interacting protein 2;13;8;13;11;16;8;7;14;12;18;14;9;14;10;25;28;poly(A);poly(A);poly(A);poly(A)
Q8WWM7;ATXN2L;Ataxin-2-like protein;13;9;12;15;22;3;2;10;8;12;7;1;16;14;22;28;poly(A);poly(A);poly(A);poly(A)
Q9BZZ5;API5;Apoptosis inhibitor 5;12;16;12;14;20;10;12;17;12;23;14;9;12;9;19;28;non-poly(A);poly(A);poly(A);poly(A)
Q9H583;HEATR1;HEAT repeat-containing protein 1;3;2;4;2;9;8;5;11;8;21;5;1;9;5;14;28;non-poly(A);poly(A);poly(A);poly(A)
Q9UNX4;WDR3;WD repeat-containing protein 3;10;12;3;6;14;12;15;7;6;24;10;10;10;7;18;28;non-poly(A);non-poly(A);poly(A);poly(A)
Q9UQ80;PA2G4;Proliferation-associated protein 2G4;16;16;22;19;24;15;25;12;13;27;12;14;10;10;22;28;poly(A);non-poly(A);poly(A);poly(A)
Q9Y6M1;IGF2BP2;Insulin-like growth factor 2 mRNA-binding protein 2;NA;NA;NA;NA;NA;15;22;17;20;28;4;5;8;8;12;28;NA;poly(A);poly(A);poly(A)
O00425;IGF2BP3;Insulin-like growth factor 2 mRNA-binding protein 3;NA;NA;NA;NA;NA;14;17;16;16;22;13;13;18;14;23;27;NA;poly(A);poly(A);poly(A)
P09874;PARP1;Poly [ADP-ribose] polymerase 1;4;2;4;6;9;7;5;11;5;19;8;5;11;8;18;27;poly(A);poly(A);poly(A);poly(A)
P18124;RPL7;60S ribosomal protein L7;8;14;11;15;24;7;14;9;7;18;8;7;8;6;16;27;poly(A);poly(A);poly(A);poly(A)
Q14157;UBAP2L;Ubiquitin-associated protein 2-like;18;13;21;16;24;9;12;14;16;20;8;7;13;14;16;27;non-poly(A);poly(A);poly(A);poly(A)
Q5BKZ1;ZNF326;DBIRD complex subunit ZNF326;11;10;7;5;14;13;13;16;14;25;17;10;13;9;22;27;poly(A);poly(A);poly(A);poly(A)
Q96AE4;FUBP1;Far upstream element-binding protein 1;18;14;17;15;24;19;16;16;16;21;15;19;17;18;23;27;poly(A);poly(A);poly(A);poly(A)
Q96KR1;ZFR;Zinc finger RNA-binding protein;13;11;9;9;17;11;13;12;12;21;13;10;12;12;21;27;poly(A);poly(A);poly(A);poly(A)
O60832;DKC1;H/ACA ribonucleoprotein complex subunit 4;7;6;9;7;14;12;10;6;7;21;6;7;7;10;14;26;poly(A);non-poly(A);poly(A);poly(A)
O75179;ANKRD17;Ankyrin repeat domain-containing protein 17;11;6;9;11;16;6;4;11;11;18;5;1;9;6;14;26;poly(A);non-poly(A);poly(A);poly(A)
P07910;HNRNPC;Heterogeneous nuclear ribonucleoproteins C1/C2;15;18;10;9;19;14;11;7;10;18;12;11;9;5;15;26;non-poly(A);poly(A);poly(A);poly(A)
P30876;POLR2B;DNA-directed RNA polymerase II subunit RPB2;12;12;11;9;17;7;5;10;14;21;10;2;12;13;21;26;poly(A);poly(A);poly(A);poly(A)
P62917;RPL8;60S ribosomal protein L8;14;17;15;20;24;13;18;15;12;22;12;11;16;13;19;26;poly(A);poly(A);poly(A);poly(A)
Q13310;PABPC4;Polyadenylate-binding protein 4;16;13;18;19;21;12;16;11;12;20;14;11;10;12;19;26;poly(A);poly(A);poly(A);poly(A)
Q15050;RRS1;Ribosome biogenesis regulatory protein homolog;8;12;11;12;20;6;13;8;6;21;11;11;8;6;19;26;poly(A);poly(A);poly(A);poly(A)
Q15269;PWP2;Periodic tryptophan protein 2 homolog;13;14;13;13;20;12;14;7;5;20;12;12;5;3;19;26;non-poly(A);poly(A);poly(A);poly(A)
Q15717;ELAVL1;ELAV-like protein 1;23;24;21;19;25;16;19;19;16;21;19;18;15;15;22;26;poly(A);poly(A);poly(A);poly(A)
Q8N163;CCAR2;Cell cycle and apoptosis regulator protein 2;9;11;16;15;21;10;13;15;14;23;8;6;11;7;17;26;poly(A);poly(A);poly(A);poly(A)
Q8WXF1;PSPC1;Paraspeckle component 1;16;23;13;18;24;10;14;14;14;21;8;11;5;8;14;26;poly(A);poly(A);poly(A);poly(A)
Q9BZE1;MRPL37;39S ribosomal protein L37, mitochondrial;16;18;19;20;25;17;20;13;14;23;9;11;14;10;16;26;non-poly(A);poly(A);poly(A);poly(A)
Q9NUL3;STAU2;Double-stranded RNA-binding protein Staufen homolog 2;14;15;11;12;20;9;7;8;7;14;10;5;8;9;16;26;poly(A);poly(A);poly(A);poly(A)
Q9NX05;FAM120C;Constitutive coactivator of PPAR-gamma-like protein 2;19;21;12;13;26;3;NA;1;2;4;3;NA;NA;1;3;26;poly(A);poly(A);poly(A);poly(A)
Q9NZI8;IGF2BP1;Insulin-like growth factor 2 mRNA-binding protein 1;NA;NA;NA;NA;NA;23;21;23;19;26;10;10;18;15;21;26;NA;poly(A);poly(A);poly(A)
Q9P2N5;RBM27;RNA-binding protein 27;15;16;13;11;20;6;8;11;8;18;10;8;9;7;17;26;poly(A);poly(A);poly(A);poly(A)
O43143;DHX15;Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15;8;11;9;10;17;11;12;11;10;23;8;5;7;5;13;25;poly(A);poly(A);poly(A);poly(A)
O95793;STAU1;Double-stranded RNA-binding protein Staufen homolog 1;9;5;13;9;20;5;4;16;10;20;NA;NA;2;NA;2;25;non-poly(A);poly(A);non-poly(A);poly(A)
P08621;SNRNP70;U1 small nuclear ribonucleoprotein 70 kDa;14;11;11;9;20;11;10;7;9;18;11;6;7;7;14;25;poly(A);poly(A);poly(A);poly(A)
P51114;FXR1;Fragile X mental retardation syndrome-related protein 1;12;11;14;15;20;11;7;11;14;20;6;5;12;5;15;25;poly(A);poly(A);poly(A);poly(A)
P52597;HNRNPF;Heterogeneous nuclear ribonucleoprotein F;13;19;14;15;22;13;16;14;13;19;14;13;12;9;16;25;poly(A);poly(A);poly(A);poly(A)
Q14671;PUM1;Pumilio homolog 1;15;11;15;14;18;10;11;18;15;20;12;9;19;18;22;25;non-poly(A);poly(A);poly(A);poly(A)
Q76FK4;NOL8;Nucleolar protein 8;4;2;5;4;10;1;1;7;5;10;3;1;14;12;19;25;poly(A);poly(A);poly(A);poly(A)
Q8NDT2;RBM15B;Putative RNA-binding protein 15B;15;14;12;13;21;17;12;12;15;22;11;6;11;12;16;25;non-poly(A);poly(A);poly(A);poly(A)
Q96P11;NSUN5;Probable 28S rRNA (cytosine-C(5))-methyltransferase;11;13;12;16;21;11;13;9;12;19;11;15;11;13;22;25;poly(A);poly(A);poly(A);poly(A)
Q99590;SCAF11;Protein SCAF11;5;6;6;5;10;7;4;6;3;12;12;9;10;8;22;25;poly(A);poly(A);poly(A);poly(A)
Q9BY77;POLDIP3;Polymerase delta-interacting protein 3;13;13;7;11;18;12;10;14;8;20;11;11;12;14;20;25;poly(A);poly(A);poly(A);poly(A)
O14979;HNRNPDL;Heterogeneous nuclear ribonucleoprotein D-like;9;9;11;8;14;11;17;13;12;22;12;12;8;8;15;24;poly(A);poly(A);poly(A);poly(A)
P23396;RPS3;40S ribosomal protein S3;16;13;18;16;21;13;14;11;10;17;12;10;13;12;18;24;poly(A);poly(A);poly(A);poly(A)
P26599;PTBP1;Polypyrimidine tract-binding protein 1;16;22;19;21;23;17;19;16;15;21;15;15;13;14;19;24;poly(A);poly(A);poly(A);poly(A)
P46777;RPL5;60S ribosomal protein L5;16;15;19;16;21;13;19;15;14;24;11;12;13;11;18;24;poly(A);poly(A);poly(A);poly(A)
P98175;RBM10;RNA-binding protein 10;13;10;16;15;21;11;10;10;8;17;11;5;11;9;17;24;poly(A);poly(A);poly(A);poly(A)
Q6P158;DHX57;Putative ATP-dependent RNA helicase DHX57;12;11;16;10;19;4;2;9;9;13;3;NA;9;6;12;24;poly(A);poly(A);poly(A);poly(A)
Q6PJT7;ZC3H14;Zinc finger CCCH domain-containing protein 14;14;11;10;14;19;8;7;15;10;20;10;5;15;11;19;24;poly(A);poly(A);poly(A);poly(A)
Q92841;DDX17;Probable ATP-dependent RNA helicase DDX17;17;15;13;16;19;13;18;10;5;21;13;14;12;10;21;24;poly(A);poly(A);poly(A);poly(A)
Q99575;POP1;Ribonucleases P/MRP protein subunit POP1;12;13;7;12;16;6;7;8;4;15;9;8;13;9;18;24;poly(A);non-poly(A);poly(A);poly(A)
Q9BUJ2;HNRNPUL1;Heterogeneous nuclear ribonucleoprotein U-like protein 1;15;15;11;13;20;10;12;9;11;18;11;11;9;10;18;24;poly(A);poly(A);poly(A);poly(A)
Q9BVP2;GNL3;Guanine nucleotide-binding protein-like 3;11;13;15;13;19;10;16;8;7;18;7;11;9;8;17;24;poly(A);poly(A);poly(A);poly(A)
