UniProt;Protein.name;Gene.name
O43837;Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial;IDH3B
Q5PRF9;Protein Smaug homolog 2;SAMD4B
O43314;Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2;PPIP5K2
Q9Y496;Kinesin-like protein KIF3A;KIF3A
Q9Y3A5;Ribosome maturation protein SBDS;SBDS
Q07157;Tight junction protein ZO-1;TJP1
Q9BWU0;Kanadaptin;SLC4A1AP
Q7Z739;YTH domain family protein 3;YTHDF3
P12109;Collagen alpha-1(VI) chain;COL6A1
Q86TX2;"Acyl-coenzyme A thioesterase 1;Acyl-coenzyme A thioesterase 2, mitochondrial";"ACOT1;ACOT2"
P54252;Ataxin-3;ATXN3
Q9Y6K9;NF-kappa-B essential modulator;IKBKG
Q7Z3E5;LisH domain-containing protein ARMC9;ARMC9
Q9UL46;Proteasome activator complex subunit 2;PSME2
Q8TCG1;Protein CIP2A;KIAA1524
Q2M389;WASH complex subunit 7;KIAA1033
P62333;26S protease regulatory subunit 10B;PSMC6
A0AVT1;Ubiquitin-like modifier-activating enzyme 6;UBA6
A0MZ66;Shootin-1;KIAA1598
Q9Y312;Protein AAR2 homolog;AAR2
O75044;SLIT-ROBO Rho GTPase-activating protein 2;SRGAP2
A3KN83;Protein strawberry notch homolog 1;SBNO1
A5YKK6;CCR4-NOT transcription complex subunit 1;CNOT1
Q9GZQ8;"Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3A";"MAP1LC3B;MAP1LC3B2;MAP1LC3A"
A6NDG6;Phosphoglycolate phosphatase;PGP
P51610;"Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6";HCFC1
Q9UKK9;ADP-sugar pyrophosphatase;NUDT5
Q14202;Zinc finger MYM-type protein 3;ZMYM3
A6NHR9;Structural maintenance of chromosomes flexible hinge domain-containing protein 1;SMCHD1
Q5JSL3;Dedicator of cytokinesis protein 11;DOCK11
Q92599;Septin-8;SEPT8
O60879;Protein diaphanous homolog 2;DIAPH2
P46020;Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform;PHKA1
P09884;"DNA polymerase alpha catalytic subunit;DNA polymerase";POLA1
O43768;Alpha-endosulfine;ENSA
O75147;Obscurin-like protein 1;OBSL1
Q15257;Serine/threonine-protein phosphatase 2A activator;PPP2R4
P14678;"Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N";"SNRPB;SNRPN"
P43243;;MATR3
Q8IYB3;Serine/arginine repetitive matrix protein 1;SRRM1
Q01844;RNA-binding protein EWS;EWSR1
Q14155;Rho guanine nucleotide exchange factor 7;ARHGEF7
O95490;Latrophilin-2;LPHN2
Q14141;Septin-6;SEPT6
Q16774;Guanylate kinase;GUK1
P49760;Dual specificity protein kinase CLK2;CLK2
P07602;"Proactivator polypeptide;Saposin-A;Saposin-B-Val;Saposin-B;Saposin-C;Saposin-D";PSAP
O75122;;CLASP2
Q8IXK0;Polyhomeotic-like protein 2;PHC2
O15372;Eukaryotic translation initiation factor 3 subunit H;"EIF3H;EIF3S3"
Q9UBU8;Mortality factor 4-like protein 1;MORF4L1
Q9H3R5;Centromere protein H;CENPH
Q99439;Calponin-2;CNN2
Q9NPI6;mRNA-decapping enzyme 1A;DCP1A
Q96SY0;von Willebrand factor A domain-containing protein 9;VWA9
O75390;"Citrate synthase;Citrate synthase, mitochondrial";CS
Q9H910;Hematological and neurological expressed 1-like protein;HN1L
Q9UBX3;;SLC25A10
P50542;Peroxisomal targeting signal 1 receptor;PEX5
Q9P289;Serine/threonine-protein kinase MST4;MST4
P62826;GTP-binding nuclear protein Ran;RAN
P20810;Calpastatin;CAST
Q96GQ7;Probable ATP-dependent RNA helicase DDX27;DDX27
Q96RU3;Formin-binding protein 1;FNBP1
P21127;Cyclin-dependent kinase 11B;"CDK11B;CDC2L1"
Q6NZ67;Mitotic-spindle organizing protein 2B;MZT2B
Q8WVV9;Heterogeneous nuclear ribonucleoprotein L-like;"HNRNPLL;HNRPLL"
P30626;Sorcin;SRI
P30876;"DNA-directed RNA polymerase;DNA-directed RNA polymerase II subunit RPB2";POLR2B
Q9H000;Probable E3 ubiquitin-protein ligase makorin-2;MKRN2
Q9BTE6;Alanyl-tRNA editing protein Aarsd1;"AARSD1;PTGES3L-AARSD1"
P08865;40S ribosomal protein SA;"RPSA;RPSAP58"
Q16629;Serine/arginine-rich splicing factor 7;SRSF7
Q14919;Dr1-associated corepressor;DRAP1
Q13685;Angio-associated migratory cell protein;AAMP
P49585;Choline-phosphate cytidylyltransferase A;PCYT1A
Q13098;COP9 signalosome complex subunit 1;GPS1
P99999;Cytochrome c;CYCS
P13798;Acylamino-acid-releasing enzyme;APEH
Q9Y5U2;Protein TSSC4;TSSC4
P83731;60S ribosomal protein L24;RPL24
Q9NR56;Muscleblind-like protein 1;MBNL1
Q9UK58;Cyclin-L1;CCNL1
Q96GG9;DCN1-like protein 1;DCUN1D1
Q96SB3;Neurabin-2;PPP1R9B
P62910;60S ribosomal protein L32;RPL32
P51617;Interleukin-1 receptor-associated kinase 1;IRAK1
Q8N9T8;Protein KRI1 homolog;KRI1
Q13557;Calcium/calmodulin-dependent protein kinase type II subunit delta;CAMK2D
Q9H173;Nucleotide exchange factor SIL1;SIL1
Q9NVA2;Septin-11;SEPT11
O94979;Protein transport protein Sec31A;SEC31A
O75496;Geminin;GMNN
Q15369;Transcription elongation factor B polypeptide 1;TCEB1
O00244;Copper transport protein ATOX1;ATOX1
O75347;Tubulin-specific chaperone A;TBCA
Q7L5N1;COP9 signalosome complex subunit 6;COPS6
Q13510;"Acid ceramidase;Acid ceramidase subunit alpha;Acid ceramidase subunit beta";ASAH1
O95819;;MAP4K4
Q9UPN9;E3 ubiquitin-protein ligase TRIM33;TRIM33
Q9Y520;Protein PRRC2C;PRRC2C
Q9GZZ1;N-alpha-acetyltransferase 50;NAA50
P15311;Ezrin;EZR
Q16637;Survival motor neuron protein;SMN1
Q15154;Pericentriolar material 1 protein;PCM1
Q9ULA0;Aspartyl aminopeptidase;DNPEP
Q9Y6E2;Basic leucine zipper and W2 domain-containing protein 2;BZW2
P68400;"Casein kinase II subunit alpha;Casein kinase II subunit alpha 3";"CSNK2A1;CSNK2A3"
P27816;"Microtubule-associated protein;Microtubule-associated protein 4";MAP4
Q96F07;Cytoplasmic FMR1-interacting protein 2;CYFIP2
Q86UP3;Zinc finger homeobox protein 4;ZFHX4
P23588;Eukaryotic translation initiation factor 4B;EIF4B
Q14203;Dynactin subunit 1;"DCTN1;DKFZp686E0752"
Q8WVB6;Chromosome transmission fidelity protein 18 homolog;CHTF18
E9PAV3;Nascent polypeptide-associated complex subunit alpha;NACA
Q7KZI7;Serine/threonine-protein kinase MARK2;MARK2
Q13144;Translation initiation factor eIF-2B subunit epsilon;EIF2B5
O43795;Unconventional myosin-Ib;MYO1B
O60610;Protein diaphanous homolog 1;DIAPH1
Q9UJ41;Rab5 GDP/GTP exchange factor;RABGEF1
Q14738;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform;PPP2R5D
Q8IW35;Centrosomal protein of 97 kDa;CEP97
Q15631;Translin;TSN
Q99627;COP9 signalosome complex subunit 8;COPS8
Q9NUL3;Double-stranded RNA-binding protein Staufen homolog 2;STAU2
Q5VU43;Myomegalin;PDE4DIP
Q8N9N8;Probable RNA-binding protein EIF1AD;EIF1AD
P55786;Puromycin-sensitive aminopeptidase;NPEPPS
Q9BPY3;Protein FAM118B;FAM118B
P62861;40S ribosomal protein S30;FAU
P29692;Elongation factor 1-delta;EEF1D
Q96KG9;N-terminal kinase-like protein;SCYL1
Q9Y4A5;Transformation/transcription domain-associated protein;TRRAP
Q8IZ69;tRNA (uracil-5-)-methyltransferase homolog A;TRMT2A
Q9Y3C0;WASH complex subunit CCDC53;CCDC53
Q9H4A3;Serine/threonine-protein kinase WNK1;WNK1
Q14839;Chromodomain-helicase-DNA-binding protein 4;CHD4
Q96EK7;Constitutive coactivator of peroxisome proliferator-activated receptor gamma;FAM120B
Q9NZJ0;Denticleless protein homolog;DTL
Q9NQX3;"Gephyrin;Molybdopterin adenylyltransferase;Molybdopterin molybdenumtransferase";GPHN
Q9ULV3;Cip1-interacting zinc finger protein;CIZ1
Q15436;Protein transport protein Sec23A;SEC23A
Q9Y6R4;Mitogen-activated protein kinase kinase kinase 4;MAP3K4
Q86XA9;HEAT repeat-containing protein 5A;HEATR5A
Q9UBL3;Set1/Ash2 histone methyltransferase complex subunit ASH2;ASH2L
Q9NUU7;ATP-dependent RNA helicase DDX19A;DDX19A
P27708;"CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase";CAD
P61923;Coatomer subunit zeta-1;COPZ1
Q99590;Protein SCAF11;SCAF11
Q9UBQ0;Vacuolar protein sorting-associated protein 29;VPS29
P54819;"Adenylate kinase 2, mitochondrial;Adenylate kinase 2, mitochondrial, N-terminally processed";AK2
P60660;Myosin light polypeptide 6;MYL6
Q92560;Ubiquitin carboxyl-terminal hydrolase BAP1;BAP1
Q9Y6M1;Insulin-like growth factor 2 mRNA-binding protein 2;IGF2BP2
Q9Y3S1;Serine/threonine-protein kinase WNK2;WNK2
Q567U6;Coiled-coil domain-containing protein 93;CCDC93
Q13613;Myotubularin-related protein 1;MTMR1
Q9H8H2;Probable ATP-dependent RNA helicase DDX31;DDX31
P59998;Actin-related protein 2/3 complex subunit 4;"ARPC4;ARPC4-TTLL3"
Q9Y4I1;Unconventional myosin-Va;MYO5A
P07910;Heterogeneous nuclear ribonucleoproteins C1/C2;HNRNPC
Q5TAQ9;DDB1- and CUL4-associated factor 8;DCAF8
P07910;Heterogeneous nuclear ribonucleoproteins C1/C2;HNRNPC
O43708;Maleylacetoacetate isomerase;GSTZ1
P24941;Cyclin-dependent kinase 2;CDK2
Q96ME7;Zinc finger protein 512;ZNF512
P07942;Laminin subunit beta-1;LAMB1
P51784;"Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 11";USP11
Q8N6H7;ADP-ribosylation factor GTPase-activating protein 2;ARFGAP2
P35080;"Profilin-2;Profilin";PFN2
P82650;28S ribosomal protein S22, mitochondrial;MRPS22
Q92879;CUGBP Elav-like family member 1;CELF1
P31943;"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed";HNRNPH1
Q8IXH7;Negative elongation factor C/D;"NELFCD;TH1L"
Q9UPP1;Histone lysine demethylase PHF8;PHF8
O43598;2-deoxynucleoside 5-phosphate N-hydrolase 1;DNPH1
Q96EY4;Translation machinery-associated protein 16;TMA16
Q9HBU6;Ethanolamine kinase 1;ETNK1
Q99700;Ataxin-2;ATXN2
Q15004;PCNA-associated factor;KIAA0101
Q71UM5;"40S ribosomal protein S27-like;40S ribosomal protein S27";RPS27L
Q92841;Probable ATP-dependent RNA helicase DDX17;DDX17
Q9Y5A7;NEDD8 ultimate buster 1;NUB1
Q15287;RNA-binding protein with serine-rich domain 1;RNPS1
P49815;Tuberin;TSC2
Q9NYV6;RNA polymerase I-specific transcription initiation factor RRN3;RRN3
Q99547;M-phase phosphoprotein 6;MPHOSPH6
Q9UPN3;;MACF1
Q8NDF8;PAP-associated domain-containing protein 5;PAPD5
O14562;Ubiquitin domain-containing protein UBFD1;UBFD1
Q9UL45;Biogenesis of lysosome-related organelles complex 1 subunit 6;BLOC1S6
Q2VPK5;Cytoplasmic tRNA 2-thiolation protein 2;CTU2
P28676;Grancalcin;GCA
P22061;"Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Protein-L-isoaspartate O-methyltransferase";PCMT1
Q02241;Kinesin-like protein KIF23;KIF23
Q99848;Probable rRNA-processing protein EBP2;EBNA1BP2
Q13404;Ubiquitin-conjugating enzyme E2 variant 1;"UBE2V1;TMEM189"
P46459;Vesicle-fusing ATPase;NSF
Q96CP2;FLYWCH family member 2;FLYWCH2
P57678;Gem-associated protein 4;GEMIN4
O14641;Segment polarity protein dishevelled homolog DVL-2;DVL2
Q01484;Ankyrin-2;ANK2
Q9H0H0;Integrator complex subunit 2;INTS2
Q92785;Zinc finger protein ubi-d4;DPF2
P42356;Phosphatidylinositol 4-kinase alpha;PI4KA
Q9UKL0;REST corepressor 1;RCOR1
O14618;Copper chaperone for superoxide dismutase;CCS
O15078;Centrosomal protein of 290 kDa;CEP290
O15027;Protein transport protein Sec16A;SEC16A
Q9NVD7;Alpha-parvin;PARVA
Q9UPW5;Cytosolic carboxypeptidase 1;AGTPBP1
Q9HAH7;Probable fibrosin-1;FBRS
Q01130;Serine/arginine-rich splicing factor 2;SRSF2
O95232;Luc7-like protein 3;LUC7L3
Q9NTK5;Obg-like ATPase 1;OLA1
Q8NBJ7;Sulfatase-modifying factor 2;SUMF2
Q8WUD4;Coiled-coil domain-containing protein 12;CCDC12
Q96FW1;Ubiquitin thioesterase OTUB1;OTUB1
P49848;Transcription initiation factor TFIID subunit 6;TAF6
Q9BTW9;Tubulin-specific chaperone D;TBCD
Q96Q15;Serine/threonine-protein kinase SMG1;SMG1
Q7Z4W1;L-xylulose reductase;DCXR
P84098;"Ribosomal protein L19;60S ribosomal protein L19";RPL19
Q07955;Serine/arginine-rich splicing factor 1;SRSF1
Q9UHR5;SAP30-binding protein;SAP30BP
Q96MU7;;YTHDC1
Q9HAS0;Protein Njmu-R1;C17orf75
Q6NW29;RWD domain-containing protein 4;RWDD4
Q96EP5;DAZ-associated protein 1;DAZAP1
P36776;Lon protease homolog, mitochondrial;LONP1
P62841;40S ribosomal protein S15;RPS15
P41567;Eukaryotic translation initiation factor 1;EIF1
Q969T9;WW domain-binding protein 2;WBP2
Q9BTD8;RNA-binding protein 42;RBM42
Q86YD1;Prostate tumor-overexpressed gene 1 protein;PTOV1
P46782;"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed";RPS5
Q13459;Unconventional myosin-IXb;MYO9B
Q8IX01;SURP and G-patch domain-containing protein 2;SUGP2
O00139;Kinesin-like protein KIF2A;KIF2A
O00148;ATP-dependent RNA helicase DDX39A;"DDX39A;DDX39"
O00151;PDZ and LIM domain protein 1;PDLIM1
O00154;Cytosolic acyl coenzyme A thioester hydrolase;ACOT7
O00159;Unconventional myosin-Ic;MYO1C
O00170;"AH receptor-interacting protein;Peptidyl-prolyl cis-trans isomerase";AIP
O00178;GTP-binding protein 1;GTPBP1
O00186;Syntaxin-binding protein 3;STXBP3
O00203;AP-3 complex subunit beta-1;AP3B1
O00231;26S proteasome non-ATPase regulatory subunit 11;PSMD11
O00232;26S proteasome non-ATPase regulatory subunit 12;PSMD12
O00233;26S proteasome non-ATPase regulatory subunit 9;PSMD9
O00264;Membrane-associated progesterone receptor component 1;PGRMC1
O00267;Transcription elongation factor SPT5;SUPT5H
O00273;DNA fragmentation factor subunit alpha;DFFA
O00299;Chloride intracellular channel protein 1;CLIC1
O00303;Eukaryotic translation initiation factor 3 subunit F;EIF3F
O00401;Neural Wiskott-Aldrich syndrome protein;WASL
O00410;Importin-5;IPO5
O00418;Eukaryotic elongation factor 2 kinase;EEF2K
O00425;Insulin-like growth factor 2 mRNA-binding protein 3;IGF2BP3
O00429;Dynamin-1-like protein;DNM1L
O00442;RNA 3-terminal phosphate cyclase;RTCA
O00443;Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha;PIK3C2A
O00469;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2;PLOD2
O00471;Exocyst complex component 5;EXOC5
O00487;26S proteasome non-ATPase regulatory subunit 14;PSMD14
O00488;Zinc finger protein 593;ZNF593
O00499;Myc box-dependent-interacting protein 1;BIN1
O00505;Importin subunit alpha-4;KPNA3
O00541;Pescadillo homolog;PES1
O00560;Syntenin-1;SDCBP
O00566;U3 small nucleolar ribonucleoprotein protein MPP10;MPHOSPH10
O00567;Nucleolar protein 56;NOP56
O00571;"ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y";"DDX3X;DDX3Y"
O00625;Pirin;PIR
O00629;Importin subunit alpha-3;KPNA4
O00743;Serine/threonine-protein phosphatase 6 catalytic subunit;PPP6C
O00754;"Lysosomal alpha-mannosidase;Lysosomal alpha-mannosidase A peptide;Lysosomal alpha-mannosidase B peptide;Lysosomal alpha-mannosidase C peptide;Lysosomal alpha-mannosidase D peptide;Lysosomal alpha-mannosidase E peptide";MAN2B1
O00762;Ubiquitin-conjugating enzyme E2 C;UBE2C
O00764;Pyridoxal kinase;PDXK
O14530;Thioredoxin domain-containing protein 9;TXNDC9
O14545;TRAF-type zinc finger domain-containing protein 1;TRAFD1
O14579;Coatomer subunit epsilon;COPE
O14617;AP-3 complex subunit delta-1;AP3D1
O14646;Chromodomain-helicase-DNA-binding protein 1;CHD1
O14654;Insulin receptor substrate 4;IRS4
O14656;Torsin-1A;TOR1A
O14657;Torsin-1B;TOR1B
O14686;Histone-lysine N-methyltransferase 2D;KMT2D
O14737;Programmed cell death protein 5;PDCD5
O14744;"Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed";PRMT5
O14745;Na(+)/H(+) exchange regulatory cofactor NHE-RF1;SLC9A3R1
O14757;Serine/threonine-protein kinase Chk1;CHEK1
O14772;Fucose-1-phosphate guanylyltransferase;FPGT
O14773;Tripeptidyl-peptidase 1;TPP1
O14776;Transcription elongation regulator 1;TCERG1
O14777;Kinetochore protein NDC80 homolog;NDC80
O14787;Transportin-2;TNPO2
O14802;DNA-directed RNA polymerase III subunit RPC1;POLR3A
O14818;Proteasome subunit alpha type-7;PSMA7
O14929;Histone acetyltransferase type B catalytic subunit;HAT1
O14936;Peripheral plasma membrane protein CASK;CASK
O14950;Myosin regulatory light chain 12B;MYL12B
O14964;Hepatocyte growth factor-regulated tyrosine kinase substrate;HGS
O14974;Protein phosphatase 1 regulatory subunit 12A;PPP1R12A
O14976;Cyclin-G-associated kinase;GAK
O14980;Exportin-1;XPO1
O14981;TATA-binding protein-associated factor 172;BTAF1
O15042;U2 snRNP-associated SURP motif-containing protein;U2SURP
O15066;Kinesin-like protein KIF3B;KIF3B
O15067;Phosphoribosylformylglycinamidine synthase;PFAS
O15084;Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A;ANKRD28
O15111;Inhibitor of nuclear factor kappa-B kinase subunit alpha;CHUK
O15116;U6 snRNA-associated Sm-like protein LSm1;LSM1
O15118;Niemann-Pick C1 protein;NPC1
O15143;Actin-related protein 2/3 complex subunit 1B;ARPC1B
O15144;Actin-related protein 2/3 complex subunit 2;ARPC2
O15145;Actin-related protein 2/3 complex subunit 3;ARPC3
O15160;DNA-directed RNA polymerases I and III subunit RPAC1;POLR1C
O15164;Transcription intermediary factor 1-alpha;TRIM24
O15212;Prefoldin subunit 6;PFDN6
O15226;NF-kappa-B-repressing factor;NKRF
O15294;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit;OGT
O15305;Phosphomannomutase 2;PMM2
O15344;Midline-1;MID1
O15355;Protein phosphatase 1G;PPM1G
O15371;Eukaryotic translation initiation factor 3 subunit D;EIF3D
O15379;Histone deacetylase 3;HDAC3
O15381;Nuclear valosin-containing protein-like;NVL
O15382;"Branched-chain-amino-acid aminotransferase, mitochondrial;Branched-chain-amino-acid aminotransferase";BCAT2
O15397;Importin-8;IPO8
O15446;DNA-directed RNA polymerase I subunit RPA34;CD3EAP
O15460;Prolyl 4-hydroxylase subunit alpha-2;P4HA2
O15479;Melanoma-associated antigen B2;MAGEB2
O15511;Actin-related protein 2/3 complex subunit 5;ARPC5
O15541;RING finger protein 113A;RNF113A
O43143;Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15;DHX15
O43148;mRNA cap guanine-N7 methyltransferase;RNMT
O43149;Zinc finger ZZ-type and EF-hand domain-containing protein 1;ZZEF1
O43156;TELO2-interacting protein 1 homolog;TTI1
O43172;U4/U6 small nuclear ribonucleoprotein Prp4;PRPF4
O43175;D-3-phosphoglycerate dehydrogenase;PHGDH
O43237;Cytoplasmic dynein 1 light intermediate chain 2;DYNC1LI2
O43242;26S proteasome non-ATPase regulatory subunit 3;PSMD3
O43252;"Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase";PAPSS1
O43264;Centromere/kinetochore protein zw10 homolog;ZW10
O43290;U4/U6.U5 tri-snRNP-associated protein 1;SART1
O43301;Heat shock 70 kDa protein 12A;HSPA12A
O43310;CBP80/20-dependent translation initiation factor;CTIF
O43318;Mitogen-activated protein kinase kinase kinase 7;MAP3K7
O43324;Eukaryotic translation elongation factor 1 epsilon-1;"EEF1E1;hCG_2043275"
O43347;RNA-binding protein Musashi homolog 1;MSI1
O43379;WD repeat-containing protein 62;WDR62
O43390;Heterogeneous nuclear ribonucleoprotein R;"HNRNPR;HNRPR"
O43395;U4/U6 small nuclear ribonucleoprotein Prp3;PRPF3
O43396;Thioredoxin-like protein 1;TXNL1
O43399;Tumor protein D54;TPD52L2
O43422;52 kDa repressor of the inhibitor of the protein kinase;PRKRIR
O43432;Eukaryotic translation initiation factor 4 gamma 3;EIF4G3
O43447;"Peptidyl-prolyl cis-trans isomerase H;Peptidyl-prolyl cis-trans isomerase";PPIH
O43488;Aflatoxin B1 aldehyde reductase member 2;AKR7A2
O43491;Band 4.1-like protein 2;EPB41L2
O43583;Density-regulated protein;DENR
O43592;Exportin-T;XPOT
O43617;Trafficking protein particle complex subunit 3;TRAPPC3
O43633;Charged multivesicular body protein 2a;CHMP2A
O43663;Protein regulator of cytokinesis 1;PRC1
O43665;Regulator of G-protein signaling 10;RGS10
O43670;Zinc finger protein 207;ZNF207
O43681;ATPase ASNA1;ASNA1
O43683;Mitotic checkpoint serine/threonine-protein kinase BUB1;BUB1
O43684;Mitotic checkpoint protein BUB3;BUB3
O43707;Alpha-actinin-4;ACTN4
O43719;HIV Tat-specific factor 1;HTATSF1
O43747;AP-1 complex subunit gamma-1;AP1G1
O43765;Small glutamine-rich tetratricopeptide repeat-containing protein alpha;SGTA
O43776;Asparagine--tRNA ligase, cytoplasmic;NARS
O43809;Cleavage and polyadenylation specificity factor subunit 5;NUDT21
O43813;LanC-like protein 1;LANCL1
O43815;Striatin;STRN
O43818;U3 small nucleolar RNA-interacting protein 2;RRP9
O43823;A-kinase anchor protein 8;AKAP8
O43847;Nardilysin;NRD1
O43852;Calumenin;CALU
O43865;Putative adenosylhomocysteinase 2;AHCYL1
O43913;Origin recognition complex subunit 5;ORC5
O43924;Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta;PDE6D
O60216;Double-strand-break repair protein rad21 homolog;RAD21
O60231;Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16;DHX16
O60245;Protocadherin-7;PCDH7
O60256;Phosphoribosyl pyrophosphate synthase-associated protein 2;PRPSAP2
O60264;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;SMARCA5
O60271;C-Jun-amino-terminal kinase-interacting protein 4;SPAG9
O60282;Kinesin heavy chain isoform 5C;KIF5C
O60287;Nucleolar pre-ribosomal-associated protein 1;URB1
O60293;Zinc finger C3H1 domain-containing protein;ZFC3H1
O60306;Intron-binding protein aquarius;AQR
O60333;Kinesin-like protein KIF1B;KIF1B
O60341;Lysine-specific histone demethylase 1A;KDM1A
O60343;TBC1 domain family member 4;TBC1D4
O60493;Sorting nexin-3;SNX3
O60502;"Bifunctional protein NCOAT;Protein O-GlcNAcase;Histone acetyltransferase";MGEA5
O60506;Heterogeneous nuclear ribonucleoprotein Q;SYNCRIP
O60508;Pre-mRNA-processing factor 17;CDC40
O60518;Ran-binding protein 6;RANBP6
O60524;Nuclear export mediator factor NEMF;NEMF
O60547;GDP-mannose 4,6 dehydratase;GMDS
O60563;Cyclin-T1;CCNT1
O60566;Mitotic checkpoint serine/threonine-protein kinase BUB1 beta;BUB1B
O60568;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3;PLOD3
O60573;Eukaryotic translation initiation factor 4E type 2;EIF4E2
O60645;Exocyst complex component 3;EXOC3
O60664;Perilipin-3;PLIN3
O60678;Protein arginine N-methyltransferase 3;PRMT3
O60684;Importin subunit alpha-7;KPNA6
O60701;UDP-glucose 6-dehydrogenase;UGDH
O60716;Catenin delta-1;CTNND1
O60749;Sorting nexin-2;SNX2
O60763;General vesicular transport factor p115;USO1
O60784;Target of Myb protein 1;TOM1
O60826;Coiled-coil domain-containing protein 22;CCDC22
O60828;Polyglutamine-binding protein 1;PQBP1
O60832;H/ACA ribonucleoprotein complex subunit 4;DKC1
O60869;Endothelial differentiation-related factor 1;EDF1
O60870;DNA/RNA-binding protein KIN17;KIN
O60884;DnaJ homolog subfamily A member 2;DNAJA2
O60885;Bromodomain-containing protein 4;BRD4
O60934;Nibrin;NBN
O75083;WD repeat-containing protein 1;WDR1
O75113;NEDD4-binding protein 1;N4BP1
O75116;Rho-associated protein kinase 2;ROCK2
O75150;E3 ubiquitin-protein ligase BRE1B;RNF40
O75152;Zinc finger CCCH domain-containing protein 11A;ZC3H11A
O75153;Clustered mitochondria protein homolog;CLUH
