UNIQUE;ID;Description;Hs_HEK293-RIC;Hs_HuH7-RIC;Hs_HeLa-RIC;Hs_HeLa-RBDmap;Hs_JURKAT-2018-RIC;Hs_JURKAT-2018-eRIC;Hs_Cyto-eRIC;Hs_Nuc-eRIC
ABCB7;ENSG00000131269;"ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCB8;ENSG00000197150;"ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCC1;ENSG00000103222|ENSG00000278183;"ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCC2;ENSG00000023839;"ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCC4;ENSG00000125257;"ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCC5;ENSG00000114770;"ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCD1;ENSG00000101986;"ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCD3;ENSG00000117528;"ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCD4;ENSG00000119688;"ATP binding cassette subfamily D member 4 [Source:HGNC Symbol;Acc:HGNC:68]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCE1;ENSG00000164163;"ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]";FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE
ABCF1;ENSG00000204574|ENSG00000206490|ENSG00000225989|ENSG00000231129|ENSG00000232169|ENSG00000236149|ENSG00000236342;"ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]";TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE
ABCF2;ENSG00000033050;"ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]";FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
ABCF3;ENSG00000161204;"ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ABHD10;ENSG00000144827;"abhydrolase domain containing 10 [Source:HGNC Symbol;Acc:HGNC:25656]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABHD12;ENSG00000100997;"abhydrolase domain containing 12 [Source:HGNC Symbol;Acc:HGNC:15868]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABHD16A;ENSG00000204427|ENSG00000206403|ENSG00000224552|ENSG00000230475|ENSG00000231488|ENSG00000235676|ENSG00000236063;"abhydrolase domain containing 16A [Source:HGNC Symbol;Acc:HGNC:13921]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABHD3;ENSG00000158201;"abhydrolase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18718]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABLIM1;ENSG00000099204;"actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABT1;ENSG00000146109;"activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]";TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
AC013461.1;ENSG00000091436;"Mitogen-activated protein kinase kinase kinase MLT  [Source:UniProtKB/Swiss-Prot;Acc:Q9NYL2]";TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
ACAA2;ENSG00000167315;"acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE
ACACA;ENSG00000275176|ENSG00000278540;"acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACAD9;ENSG00000177646;"acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACADM;ENSG00000117054;"acyl-CoA dehydrogenase, C-4 to C-12 straight chain [Source:HGNC Symbol;Acc:HGNC:89]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACADS;ENSG00000122971;"acyl-CoA dehydrogenase, C-2 to C-3 short chain [Source:HGNC Symbol;Acc:HGNC:90]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACADSB;ENSG00000196177;"acyl-CoA dehydrogenase, short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACADVL;ENSG00000072778;"acyl-CoA dehydrogenase, very long chain [Source:HGNC Symbol;Acc:HGNC:92]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ACAT1;ENSG00000075239;"acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
ACAT2;ENSG00000120437;"acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACBD3;ENSG00000182827;"acyl-CoA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15453]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACIN1;ENSG00000100813;"apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]";TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE
ACLY;ENSG00000131473;"ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ACO1;ENSG00000122729;"aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACO2;ENSG00000100412;"aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
ACOT1;ENSG00000184227;"acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACOT7;ENSG00000097021;"acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACP1;ENSG00000143727;"acid phosphatase 1, soluble [Source:HGNC Symbol;Acc:HGNC:122]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACP2;ENSG00000134575;"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACSF3;ENSG00000176715;"acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACSL1;ENSG00000151726;"acyl-CoA synthetase long-chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACSL3;ENSG00000123983;"acyl-CoA synthetase long-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:3570]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACSL4;ENSG00000068366;"acyl-CoA synthetase long-chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACSS2;ENSG00000131069;"acyl-CoA synthetase short-chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACTA1;ENSG00000143632;"actin, alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACTG1;ENSG00000184009;"actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACTN1;ENSG00000072110;"actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ACTN4;ENSG00000130402|ENSG00000282844;"actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]";FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
ACTR10;ENSG00000131966;"actin-related protein 10 homolog [Source:HGNC Symbol;Acc:HGNC:17372]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACTR2;ENSG00000138071;"ARP2 actin related protein 2 homolog [Source:HGNC Symbol;Acc:HGNC:169]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ACTR3;ENSG00000115091;"ARP3 actin related protein 3 homolog [Source:HGNC Symbol;Acc:HGNC:170]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ACTR3C;ENSG00000106526;"ARP3 actin-related protein 3 homolog C [Source:HGNC Symbol;Acc:HGNC:37282]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ACTR6;ENSG00000075089;"ARP6 actin-related protein 6 homolog [Source:HGNC Symbol;Acc:HGNC:24025]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADAR;ENSG00000160710;"adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]";TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
ADARB1;ENSG00000197381;"adenosine deaminase, RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADARB2;ENSG00000185736;"adenosine deaminase, RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]";FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
ADCK2;ENSG00000133597;"aarF domain containing kinase 2 [Source:HGNC Symbol;Acc:HGNC:19039]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADCY3;ENSG00000138031;"adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADCY6;ENSG00000174233;"adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADD1;ENSG00000087274;"adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]";FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
ADD2;ENSG00000075340;"adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADD3;ENSG00000148700;"adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
ADGRB3;ENSG00000135298;"adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADGRL2;ENSG00000117114;"adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADH5;ENSG00000197894;"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ADI1;ENSG00000182551|ENSG00000280830;"acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADK;ENSG00000156110;"adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
ADNP;ENSG00000101126;"activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADNP2;ENSG00000101544;"ADNP homeobox 2 [Source:HGNC Symbol;Acc:HGNC:23803]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADPRHL2;ENSG00000116863;"ADP-ribosylhydrolase like 2 [Source:HGNC Symbol;Acc:HGNC:21304]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADRM1;ENSG00000130706;"adhesion regulating molecule 1 [Source:HGNC Symbol;Acc:HGNC:15759]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ADSL;ENSG00000239900;"adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
ADSS;ENSG00000035687;"adenylosuccinate synthase [Source:HGNC Symbol;Acc:HGNC:292]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AEN;ENSG00000181026;"apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AFDN;ENSG00000130396;"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
AFF4;ENSG00000072364;"AF4/FMR2 family member 4 [Source:HGNC Symbol;Acc:HGNC:17869]";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
AFG3L2;ENSG00000141385;"AFG3 like matrix AAA peptidase subunit 2 [Source:HGNC Symbol;Acc:HGNC:315]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AFP;ENSG00000081051;"alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGAP3;ENSG00000133612;"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:16923]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGFG1;ENSG00000173744;"ArfGAP with FG repeats 1 [Source:HGNC Symbol;Acc:HGNC:5175]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGK;ENSG00000006530|ENSG00000262327;"acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGL;ENSG00000162688;"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGO1;ENSG00000092847;"argonaute 1, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3262]";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGO2;ENSG00000123908;"argonaute 2, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3263]";TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
AGO3;ENSG00000126070;"argonaute 3, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18421]";TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
AGPAT1;ENSG00000204310|ENSG00000206324|ENSG00000226467|ENSG00000227642|ENSG00000228892|ENSG00000235758|ENSG00000236873;"1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:324]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGPAT3;ENSG00000160216;"1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGPAT4;ENSG00000026652;"1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGPS;ENSG00000018510;"alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGRN;ENSG00000188157;"agrin [Source:HGNC Symbol;Acc:HGNC:329]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AGTRAP;ENSG00000177674;"angiotensin II receptor associated protein [Source:HGNC Symbol;Acc:HGNC:13539]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AHCTF1;ENSG00000153207;"AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AHCY;ENSG00000101444;"adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
AHCYL2;ENSG00000158467;"adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
AHNAK;ENSG00000124942;"AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]";FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
AHNAK2;ENSG00000185567;"AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AHSA1;ENSG00000100591;"activator of Hsp90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AIFM1;ENSG00000156709;"apoptosis inducing factor, mitochondria associated 1 [Source:HGNC Symbol;Acc:HGNC:8768]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AIG1;ENSG00000146416;"androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:21607]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AIMP1;ENSG00000164022;"aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE
AIMP2;ENSG00000106305;"aminoacyl tRNA synthetase complex interacting multifunctional protein 2 [Source:HGNC Symbol;Acc:HGNC:20609]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AIP;ENSG00000110711;"aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AK2;ENSG00000004455;"adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AK3;ENSG00000147853;"adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
AK4;ENSG00000162433;"adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AK6;ENSG00000085231|ENSG00000279247;"adenylate kinase 6 [Source:HGNC Symbol;Acc:HGNC:49151]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKAP1;ENSG00000121057;"A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]";TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE
AKAP12;ENSG00000131016;"A-kinase anchoring protein 12 [Source:HGNC Symbol;Acc:HGNC:370]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKAP13;ENSG00000170776;"A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKAP17A;ENSG00000197976;"A-kinase anchoring protein 17A [Source:HGNC Symbol;Acc:HGNC:18783]";TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKAP2;ENSG00000241978;"A-kinase anchoring protein 2 [Source:HGNC Symbol;Acc:HGNC:372]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKAP8;ENSG00000105127;"A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]";TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE
AKAP8L;ENSG00000011243;"A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]";TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
AKAP9;ENSG00000127914;"A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKR1A1;ENSG00000117448;"aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
AKR1B1;ENSG00000085662;"aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
AKR1C3;ENSG00000196139;"aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKR7A2;ENSG00000053371;"aldo-keto reductase family 7 member A2 [Source:HGNC Symbol;Acc:HGNC:389]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKT1;ENSG00000142208;"AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AKT1S1;ENSG00000204673;"AKT1 substrate 1 [Source:HGNC Symbol;Acc:HGNC:28426]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ALCAM;ENSG00000170017;"activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ALDH16A1;ENSG00000161618;"aldehyde dehydrogenase 16 family member A1 [Source:HGNC Symbol;Acc:HGNC:28114]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ALDH18A1;ENSG00000059573;"aldehyde dehydrogenase 18 family member A1 [Source:HGNC Symbol;Acc:HGNC:9722]";FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE
ALDH1A1;ENSG00000165092;"aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ALDH1A2;ENSG00000128918;"aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ALDH1B1;ENSG00000137124;"aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
